ID_Tactique,ID_Match,ID_Joueur,Zones_Influence,Transitions_Rapides,Pressions_Réussies
304,13,818,Toute Surface,10,16
305,13,688,Défensive,5,7
306,13,807,Défensive,3,9
307,13,895,Offensive,8,10
308,13,678,Médiane,9,17
309,13,32,Défensive,10,16
310,13,881,Toute Surface,3,11
311,13,600,Toute Surface,8,11
312,13,285,Toute Surface,9,3
313,14,414,Défensive,0,0
314,14,617,Défensive,0,0
315,14,829,Défensive,0,0
316,14,666,Médiane,5,7
317,14,445,Toute Surface,5,10
318,14,101,Médiane,7,13
319,14,802,Médiane,11,10
320,14,757,Offensive,9,15
321,14,152,Offensive,8,18
322,14,270,Toute Surface,11,14
323,14,393,Offensive,12,18
324,14,124,Offensive,4,13
325,14,341,Médiane,15,9
326,14,974,Médiane,8,12
327,14,439,Défensive,7,13
328,14,818,Défensive,12,14
329,14,688,Toute Surface,7,13
330,14,807,Défensive,3,14
331,14,895,Médiane,6,10
332,14,678,Offensive,11,14
333,14,32,Défensive,12,18
334,14,881,Médiane,5,7
335,14,600,Défensive,7,12
336,14,285,Défensive,12,9
337,15,414,Défensive,0,0
338,15,617,Défensive,0,0
339,15,829,Défensive,0,0
340,15,666,Toute Surface,8,9
341,15,445,Offensive,5,18
342,15,101,Défensive,9,11
343,15,802,Toute Surface,11,16
344,15,757,Médiane,8,15
345,15,152,Défensive,12,14
346,15,270,Défensive,6,11
347,15,393,Défensive,5,17
348,15,124,Médiane,7,6
349,15,341,Offensive,13,8
350,15,974,Toute Surface,3,7
351,15,439,Toute Surface,10,14
352,15,818,Défensive,6,18
353,15,688,Toute Surface,4,12
354,15,807,Défensive,7,7
355,15,895,Offensive,11,17
356,15,678,Offensive,6,19
357,15,32,Toute Surface,9,13
358,15,881,Défensive,4,14
359,15,600,Offensive,9,15
360,15,285,Offensive,10,7
361,16,414,Défensive,0,0
362,16,617,Défensive,0,0
363,16,829,Défensive,0,0
364,16,666,Médiane,4,9
365,16,445,Médiane,12,13
366,16,101,Offensive,7,13
367,16,802,Médiane,5,11
368,16,757,Toute Surface,11,15
369,16,152,Offensive,5,16
370,16,270,Défensive,6,18
371,16,393,Toute Surface,12,17
372,16,124,Offensive,4,16
373,16,341,Toute Surface,8,8
374,16,974,Offensive,4,12
375,16,439,Défensive,7,19
376,16,818,Défensive,13,13
377,16,688,Médiane,7,11
378,16,807,Médiane,6,8
379,16,895,Toute Surface,8,15
380,16,678,Médiane,9,12
381,16,32,Toute Surface,5,16
382,16,881,Médiane,3,15
383,16,600,Toute Surface,12,13
384,16,285,Offensive,11,11
385,17,414,Défensive,0,0
386,17,617,Défensive,0,0
387,17,829,Défensive,0,0
388,17,666,Toute Surface,2,10
389,17,445,Médiane,9,16
390,17,101,Médiane,4,16
391,17,802,Médiane,7,18
392,17,757,Médiane,7,12
393,17,152,Médiane,10,17
394,17,270,Défensive,5,9
395,17,393,Toute Surface,9,16
396,17,124,Défensive,4,11
397,17,341,Médiane,9,4
398,17,974,Toute Surface,4,12
399,17,439,Médiane,7,9
400,17,818,Offensive,9,12
401,17,688,Défensive,4,7
402,17,807,Défensive,4,6
403,17,895,Défensive,8,17
404,17,678,Toute Surface,10,11
405,17,32,Offensive,8,10
406,17,881,Défensive,6,9
407,17,600,Toute Surface,9,9
408,17,285,Médiane,10,6
409,18,414,Défensive,0,0
410,18,617,Défensive,0,0
411,18,829,Défensive,0,0
412,18,666,Médiane,6,7
413,18,445,Défensive,5,16
414,18,101,Défensive,9,12
415,18,802,Défensive,6,17
416,18,757,Défensive,9,10
417,18,152,Défensive,4,15
418,18,270,Offensive,8,17
419,18,393,Offensive,4,14
420,18,124,Médiane,7,9
421,18,341,Défensive,13,4
422,18,974,Médiane,5,6
423,18,439,Offensive,6,18
424,18,818,Offensive,9,12
425,18,688,Médiane,5,6
426,18,807,Toute Surface,3,12
427,18,895,Défensive,9,11
428,18,678,Toute Surface,10,18
429,18,32,Toute Surface,8,18
430,18,881,Médiane,5,12
431,18,600,Défensive,8,15
432,18,285,Médiane,10,6
433,19,414,Défensive,0,0
434,19,617,Défensive,0,0
435,19,829,Défensive,0,0
436,19,666,Défensive,8,13
437,19,445,Offensive,9,16
438,19,101,Médiane,12,22
439,19,802,Offensive,6,11
440,19,757,Défensive,11,12
441,19,152,Défensive,6,13
442,19,270,Défensive,6,12
443,19,393,Médiane,9,17
444,19,124,Toute Surface,8,13
445,19,341,Défensive,16,8
446,19,974,Médiane,6,13
447,19,439,Défensive,5,13
448,19,818,Défensive,5,22
449,19,688,Offensive,8,14
450,19,807,Médiane,6,11
451,19,895,Toute Surface,9,12
452,19,678,Toute Surface,9,22
453,19,32,Offensive,12,20
454,19,881,Défensive,7,14
455,19,600,Toute Surface,6,15
456,19,285,Défensive,12,6
457,20,414,Défensive,0,0
458,20,617,Défensive,0,0
459,20,829,Défensive,0,0
460,20,666,Médiane,6,4
461,20,445,Médiane,9,9
462,20,101,Défensive,9,9
463,20,802,Toute Surface,10,18
464,20,757,Médiane,9,18
465,20,152,Médiane,4,14
466,20,270,Toute Surface,9,11
467,20,393,Toute Surface,5,17
468,20,124,Toute Surface,6,9
469,20,341,Toute Surface,12,4
470,20,974,Toute Surface,5,8
471,20,439,Offensive,8,13
472,20,818,Offensive,10,10
473,20,688,Défensive,5,9
474,20,807,Médiane,3,9
475,20,895,Défensive,4,13
476,20,678,Médiane,9,17
477,20,32,Médiane,8,12
478,20,881,Médiane,4,8
479,20,600,Offensive,10,13
480,20,285,Médiane,7,6
481,21,414,Défensive,0,0
482,21,617,Défensive,0,0
483,21,829,Défensive,0,0
484,21,666,Toute Surface,3,13
485,21,445,Défensive,4,17
486,21,101,Offensive,9,13
487,21,802,Défensive,9,16
488,21,757,Défensive,6,18
489,21,152,Toute Surface,5,14
490,21,270,Toute Surface,7,16
491,21,393,Médiane,5,14
492,21,124,Défensive,5,7
493,21,341,Offensive,13,9
494,21,974,Toute Surface,2,5
495,21,439,Offensive,5,9
496,21,818,Toute Surface,10,12
497,21,688,Toute Surface,4,12
498,21,807,Toute Surface,2,5
499,21,895,Défensive,9,10
500,21,678,Offensive,9,11
501,21,32,Défensive,9,15
502,21,881,Défensive,2,11
503,21,600,Toute Surface,9,11
504,21,285,Défensive,9,9
505,22,414,Défensive,0,0
506,22,617,Défensive,0,0
507,22,829,Défensive,0,0
508,22,666,Toute Surface,7,11
509,22,445,Toute Surface,6,13
510,22,101,Toute Surface,9,9
511,22,802,Médiane,7,12
512,22,757,Offensive,7,10
513,22,152,Défensive,4,18
514,22,270,Défensive,4,10
515,22,393,Défensive,10,12
516,22,124,Toute Surface,3,13
517,22,341,Défensive,12,4
518,22,974,Offensive,5,12
519,22,439,Toute Surface,8,14
520,22,818,Défensive,5,10
521,22,688,Offensive,4,9
522,22,807,Toute Surface,5,7
523,22,895,Médiane,9,17
524,22,678,Toute Surface,8,15
525,22,32,Médiane,10,18
526,22,881,Médiane,3,6
527,22,600,Toute Surface,4,9
528,22,285,Offensive,7,4
529,23,414,Défensive,0,0
530,23,617,Défensive,0,0
531,23,829,Défensive,0,0
532,23,666,Offensive,5,14
533,23,445,Toute Surface,11,17
534,23,101,Toute Surface,5,22
535,23,802,Toute Surface,7,12
536,23,757,Toute Surface,13,12
537,23,152,Toute Surface,6,17
538,23,270,Toute Surface,5,19
539,23,393,Toute Surface,12,20
540,23,124,Médiane,5,7
541,23,341,Défensive,13,6
542,23,974,Toute Surface,6,16
543,23,439,Toute Surface,11,18
544,23,818,Offensive,12,22
545,23,688,Médiane,5,15
546,23,807,Toute Surface,6,8
547,23,895,Défensive,13,19
548,23,678,Médiane,11,17
549,23,32,Offensive,8,11
550,23,881,Offensive,8,14
551,23,600,Médiane,5,11
552,23,285,Médiane,14,11
553,24,414,Défensive,0,0
554,24,617,Défensive,0,0
555,24,829,Défensive,0,0
556,24,666,Offensive,5,9
557,24,445,Défensive,5,12
558,24,101,Toute Surface,5,15
559,24,802,Toute Surface,9,13
560,24,757,Médiane,4,9
561,24,152,Médiane,9,14
562,24,270,Offensive,10,11
563,24,393,Offensive,9,9
564,24,124,Défensive,6,13
565,24,341,Défensive,11,2
566,24,974,Offensive,3,7
567,24,439,Toute Surface,8,11
568,24,818,Défensive,9,13
569,24,688,Toute Surface,4,7
570,24,807,Médiane,7,9
571,24,895,Offensive,8,11
572,24,678,Défensive,8,12
573,24,32,Défensive,4,17
574,24,881,Médiane,3,9
575,24,600,Médiane,5,9
576,24,285,Toute Surface,7,3
577,25,414,Défensive,0,0
578,25,617,Défensive,0,0
579,25,829,Défensive,0,0
580,25,666,Médiane,4,6
581,25,445,Défensive,12,11
582,25,101,Défensive,11,12
583,25,802,Offensive,5,11
584,25,757,Défensive,9,17
585,25,152,Médiane,9,13
586,25,270,Médiane,12,10
587,25,393,Médiane,5,19
588,25,124,Toute Surface,5,15
589,25,341,Défensive,9,5
590,25,974,Médiane,6,13
591,25,439,Défensive,12,16
592,25,818,Toute Surface,8,19
593,25,688,Toute Surface,6,9
594,25,807,Défensive,5,6
595,25,895,Défensive,10,20
596,25,678,Défensive,11,12
597,25,32,Défensive,6,11
598,25,881,Toute Surface,4,14
599,25,600,Médiane,11,19
600,25,285,Médiane,11,8
601,26,414,Défensive,0,0
602,26,617,Défensive,0,0
603,26,829,Défensive,0,0
604,26,666,Médiane,6,12
605,26,445,Médiane,6,18
606,26,101,Médiane,9,12
607,26,802,Toute Surface,12,12
608,26,757,Toute Surface,8,14
609,26,152,Offensive,6,12
610,26,270,Toute Surface,12,17
611,26,393,Offensive,13,14
612,26,124,Médiane,6,9
613,26,341,Défensive,13,4
614,26,974,Médiane,7,15
615,26,439,Médiane,5,18
616,26,818,Offensive,12,18
617,26,688,Offensive,5,8
618,26,807,Offensive,4,7
619,26,895,Défensive,8,14
620,26,678,Défensive,8,22
621,26,32,Offensive,7,17
622,26,881,Médiane,6,9
623,26,600,Toute Surface,13,13
624,26,285,Toute Surface,12,6
625,27,414,Défensive,0,0
626,27,617,Défensive,0,0
627,27,829,Défensive,0,0
628,27,666,Défensive,6,8
629,27,445,Offensive,9,19
630,27,101,Défensive,13,14
631,27,802,Offensive,8,13
632,27,757,Toute Surface,5,15
633,27,152,Défensive,6,16
634,27,270,Médiane,7,20
635,27,393,Offensive,9,22
636,27,124,Médiane,8,13
637,27,341,Médiane,8,9
638,27,974,Toute Surface,3,14
639,27,439,Offensive,9,11
640,27,818,Offensive,11,15
641,27,688,Offensive,5,9
642,27,807,Médiane,5,14
643,27,895,Défensive,13,11
644,27,678,Toute Surface,5,18
645,27,32,Défensive,7,20
646,27,881,Médiane,8,13
647,27,600,Toute Surface,5,16
648,27,285,Médiane,15,4
649,28,414,Défensive,0,0
650,28,617,Défensive,0,0
651,28,829,Défensive,0,0
652,28,666,Médiane,4,13
653,28,445,Défensive,7,14
654,28,101,Défensive,4,11
655,28,802,Défensive,9,18
656,28,757,Toute Surface,6,14
657,28,152,Médiane,7,15
658,28,270,Médiane,7,10
659,28,393,Offensive,9,17
660,28,124,Défensive,5,7
661,28,341,Offensive,10,7
662,28,974,Défensive,2,6
663,28,439,Médiane,9,14
664,28,818,Offensive,9,12
665,28,688,Médiane,3,9
666,28,807,Défensive,2,11
667,28,895,Défensive,10,17
668,28,678,Toute Surface,7,11
669,28,32,Défensive,5,11
670,28,881,Toute Surface,4,9
671,28,600,Offensive,9,12
672,28,285,Médiane,8,4
673,29,414,Défensive,0,0
674,29,617,Défensive,0,0
675,29,829,Défensive,0,0
676,29,666,Défensive,3,15
677,29,445,Défensive,11,17
678,29,101,Médiane,9,14
679,29,802,Toute Surface,10,16
680,29,757,Défensive,11,14
681,29,152,Défensive,10,17
682,29,270,Toute Surface,9,13
683,29,393,Défensive,10,15
684,29,124,Médiane,4,8
685,29,341,Défensive,11,8
686,29,974,Toute Surface,3,10
687,29,439,Défensive,6,19
688,29,818,Offensive,6,11
689,29,688,Médiane,8,5
690,29,807,Toute Surface,5,9
691,29,895,Médiane,12,17
692,29,678,Offensive,7,10
693,29,32,Offensive,5,18
694,29,881,Médiane,5,10
695,29,600,Médiane,10,20
696,29,285,Médiane,9,10
697,30,414,Défensive,0,0
698,30,617,Défensive,0,0
699,30,829,Défensive,0,0
700,30,666,Défensive,4,11
701,30,445,Médiane,8,16
702,30,101,Défensive,4,12
703,30,802,Médiane,6,10
704,30,757,Défensive,10,12
705,30,152,Offensive,7,18
706,30,270,Médiane,6,12
707,30,393,Toute Surface,9,16
708,30,124,Défensive,7,6
709,30,341,Défensive,12,6
710,30,974,Toute Surface,7,13
711,30,439,Toute Surface,9,16
712,30,818,Médiane,9,16
713,30,688,Toute Surface,7,9
714,30,807,Défensive,5,6
715,30,895,Médiane,4,16
716,30,678,Médiane,10,10
717,30,32,Défensive,10,13
718,30,881,Médiane,4,10
719,30,600,Toute Surface,8,9
720,30,285,Défensive,11,2
721,31,414,Défensive,0,0
722,31,617,Défensive,0,0
723,31,829,Défensive,0,0
724,31,666,Médiane,7,15
725,31,445,Médiane,13,20
726,31,101,Médiane,8,22
727,31,802,Toute Surface,7,15
728,31,757,Défensive,8,18
729,31,152,Médiane,13,13
730,31,270,Défensive,8,12
731,31,393,Toute Surface,5,15
732,31,124,Toute Surface,4,5
733,31,341,Offensive,11,3
734,31,974,Toute Surface,6,9
735,31,439,Offensive,12,14
736,31,818,Offensive,8,11
737,31,688,Défensive,8,14
738,31,807,Toute Surface,5,6
739,31,895,Offensive,8,15
740,31,678,Défensive,8,16
741,31,32,Médiane,9,11
742,31,881,Médiane,8,15
743,31,600,Offensive,12,22
744,31,285,Médiane,12,5
745,32,414,Défensive,0,0
746,32,617,Défensive,0,0
747,32,829,Défensive,0,0
748,32,666,Défensive,3,14
749,32,445,Toute Surface,12,13
750,32,101,Défensive,8,16
751,32,802,Toute Surface,8,18
752,32,757,Toute Surface,8,18
753,32,152,Toute Surface,6,16
754,32,270,Toute Surface,11,11
755,32,393,Offensive,9,15
756,32,124,Médiane,4,8
757,32,341,Médiane,10,8
758,32,974,Toute Surface,4,7
759,32,439,Toute Surface,5,12
760,32,818,Défensive,7,18
761,32,688,Défensive,3,5
762,32,807,Médiane,4,15
763,32,895,Toute Surface,7,15
764,32,678,Toute Surface,7,15
765,32,32,Médiane,7,20
766,32,881,Médiane,7,5
767,32,600,Défensive,7,18
768,32,285,Toute Surface,15,6
769,33,414,Défensive,0,0
770,33,617,Défensive,0,0
771,33,829,Défensive,0,0
772,33,666,Défensive,3,9
773,33,445,Toute Surface,9,17
774,33,101,Toute Surface,6,12
775,33,802,Médiane,4,9
776,33,757,Médiane,4,9
777,33,152,Médiane,10,18
778,33,270,Défensive,4,13
779,33,393,Défensive,4,9
780,33,124,Toute Surface,5,7
781,33,341,Offensive,9,3
782,33,974,Offensive,4,9
783,33,439,Médiane,4,18
784,33,818,Défensive,8,13
785,33,688,Toute Surface,4,10
786,33,807,Offensive,5,6
787,33,895,Médiane,6,17
788,33,678,Médiane,10,17
789,33,32,Offensive,7,10
790,33,881,Toute Surface,7,9
791,33,600,Offensive,6,9
792,33,285,Médiane,12,5
793,34,414,Défensive,0,0
794,34,617,Défensive,0,0
795,34,829,Défensive,0,0
796,34,666,Médiane,7,11
797,34,445,Défensive,7,10
798,34,101,Défensive,5,13
799,34,802,Défensive,9,12
800,34,757,Médiane,6,12
801,34,152,Défensive,10,10
802,34,270,Offensive,4,16
803,34,393,Toute Surface,9,10
804,34,124,Médiane,4,11
805,34,341,Toute Surface,12,6
806,34,974,Toute Surface,3,9
807,34,439,Offensive,9,18
808,34,818,Défensive,10,17
809,34,688,Toute Surface,3,12
810,34,807,Toute Surface,2,6
811,34,895,Toute Surface,10,14
812,34,678,Offensive,8,17
813,34,32,Offensive,4,14
814,34,881,Toute Surface,3,9
815,34,600,Défensive,7,17
816,34,285,Offensive,11,5
817,35,414,Défensive,0,0
818,35,617,Défensive,0,0
819,35,829,Défensive,0,0
820,35,666,Médiane,2,11
821,35,445,Médiane,10,14
822,35,101,Médiane,5,10
823,35,802,Toute Surface,6,14
824,35,757,Toute Surface,9,9
825,35,152,Médiane,6,17
826,35,270,Offensive,9,12
827,35,393,Médiane,5,15
828,35,124,Toute Surface,7,10
829,35,341,Défensive,11,5
830,35,974,Médiane,7,13
831,35,439,Toute Surface,7,18
832,35,818,Toute Surface,6,18
833,35,688,Toute Surface,4,10
834,35,807,Défensive,2,8
835,35,895,Défensive,9,12
836,35,678,Défensive,9,16
837,35,32,Médiane,9,9
838,35,881,Défensive,7,9
839,35,600,Toute Surface,10,13
840,35,285,Défensive,8,6
841,36,414,Défensive,0,0
842,36,617,Défensive,0,0
843,36,829,Défensive,0,0
844,36,666,Défensive,6,12
845,36,445,Défensive,5,16
846,36,101,Offensive,11,16
847,36,802,Offensive,12,17
848,36,757,Offensive,8,22
849,36,152,Défensive,8,17
850,36,270,Toute Surface,5,20
851,36,393,Médiane,7,19
852,36,124,Défensive,8,14
853,36,341,Toute Surface,13,7
854,36,974,Offensive,4,9
855,36,439,Défensive,13,20
856,36,818,Défensive,11,20
857,36,688,Offensive,3,12
858,36,807,Défensive,4,12
859,36,895,Médiane,6,13
860,36,678,Médiane,12,19
861,36,32,Médiane,5,14
862,36,881,Médiane,6,14
863,36,600,Toute Surface,5,19
864,36,285,Défensive,14,6
865,37,414,Défensive,0,0
866,37,617,Défensive,0,0
867,37,829,Défensive,0,0
868,37,666,Médiane,8,15
869,37,445,Défensive,6,12
870,37,101,Offensive,6,18
871,37,802,Offensive,12,13
872,37,757,Défensive,6,16
873,37,152,Défensive,12,15
874,37,270,Offensive,6,11
875,37,393,Médiane,7,14
876,37,124,Médiane,5,12
877,37,341,Offensive,11,3
878,37,974,Défensive,6,13
879,37,439,Défensive,6,17
880,37,818,Toute Surface,5,22
881,37,688,Défensive,7,7
882,37,807,Défensive,7,13
883,37,895,Défensive,11,12
884,37,678,Médiane,8,11
885,37,32,Défensive,13,16
886,37,881,Défensive,5,8
887,37,600,Médiane,5,11
888,37,285,Défensive,14,6
889,38,414,Défensive,0,0
890,38,617,Défensive,0,0
891,38,829,Défensive,0,0
892,38,666,Toute Surface,4,10
893,38,445,Médiane,8,16
894,38,101,Médiane,7,18
895,38,802,Défensive,9,12
896,38,757,Offensive,9,14
897,38,152,Toute Surface,9,12
898,38,270,Offensive,8,18
899,38,393,Offensive,6,9
900,38,124,Défensive,2,10
