ID_Athletique,ID_Match,ID_Joueur,VO2_Max,Distance_Parcourue,Vitesse_Max,Vitesse_Moyenne,Hauteur_Saut,Puissance_Membres,Force_Maximale,Temps_Récupération
94,4,881,55.55,6.48,24.38,9.8,56.18,671.66,113.08,5.56
95,4,600,56.9,7.85,25.86,10.29,47.76,476.42,72.71,10.0
96,4,285,49.83,9.43,27.57,11.31,51.76,620.44,117.5,10.0
97,5,414,51.36,5.619999999999999,26.03,8.32,56.23,595.26,91.18,10.0
98,5,617,57.13,4.35,26.44,6.449999999999999,72.5,631.69,87.12,2.0
99,5,829,52.14,4.89,25.62,9.78,58.3,493.06,100.41,10.0
100,5,666,52.76,7.93,25.03,11.6,49.7,467.84,62.79,10.0
101,5,445,54.42,9.41,29.46,10.52,53.7,603.9,70.88,7.0
102,5,101,48.63,9.25,29.98,11.55,55.57,405.46,111.23,2.0
103,5,802,49.91,8.09,27.72,12.14,47.67,453.81,118.99,5.0
104,5,757,48.63,8.11,31.87,9.12,54.26,574.68,111.1,3.33
105,5,152,55.36,7.47,31.57,9.76,48.34,560.95,106.28,4.67
106,5,270,55.47,8.29,25.63,9.51,49.73,690.91,82.48,8.11
107,5,393,55.73,9.45,27.14,12.96,60.48,509.68,103.61,10.0
108,5,124,51.6,8.56,29.18,10.31,48.7,572.05,104.57,8.0
109,5,341,49.59,8.31,28.57,12.4,61.3,630.89,91.53,5.0
110,5,974,54.42,8.98,29.9,8.28,56.4,458.15,81.7,7.0
111,5,439,51.15,8.21,25.4,9.53,46.32,625.01,84.94,5.0
112,5,818,57.65,8.82,28.49,10.66,58.3,598.47,108.46,5.22
113,5,688,53.13,8.72,24.05,8.23,64.03,583.55,91.2,10.0
114,5,807,57.42,6.26,26.7,10.71,56.44,594.51,106.71,10.0
115,5,895,56.49,7.04,25.42,11.75,48.63,454.05,72.36,3.11
116,5,678,54.85,8.72,27.68,11.35,51.76,630.65,114.69,6.89
117,5,32,54.97,8.58,29.81,9.15,47.0,506.16,95.19,4.78
118,5,881,57.27,8.7,28.36,10.2,53.81,584.41,84.63,5.56
119,5,600,52.89,7.51,26.66,10.32,46.69,574.43,113.05,6.67
120,5,285,49.21,9.19,30.38,9.24,50.02,454.6,86.29,10.0
121,6,414,57.35,5.66,20.58,6.17,55.71,648.16,100.39,3.11
122,6,617,51.72,6.859999999999999,23.31,7.630000000000001,65.2,467.04,114.85,2.0
123,6,829,48.37,4.79,20.11,7.5,56.97,481.21,87.84,10.0
124,6,666,54.18,6.67,25.17,8.7,56.28,634.65,112.51,10.0
125,6,445,52.41,7.06,29.83,12.83,48.54,468.07,89.45,7.0
126,6,101,56.01,8.99,27.83,11.61,57.21,519.89,112.0,2.0
127,6,802,49.48,9.76,28.17,10.55,48.48,545.14,63.96,7.33
128,6,757,53.67,7.75,26.71,10.26,62.82,417.5,90.26,6.89
129,6,152,56.94,9.43,29.82,11.74,59.12,651.04,97.54,10.0
130,6,270,52.49,8.66,27.89,9.06,62.15,618.43,110.4,8.11
131,6,393,56.11,9.06,25.2,10.47,53.98,458.04,95.69,10.0
132,6,124,53.94,6.08,28.95,11.78,60.96,680.97,99.64,8.0
133,6,341,53.88,9.98,30.52,11.07,63.81,562.41,67.67,4.56
134,6,974,48.71,6.05,26.07,9.29,48.28,632.13,86.61,10.0
135,6,439,49.93,8.97,28.04,10.22,48.51,602.76,74.08,5.0
136,6,818,54.26,8.81,28.3,12.21,64.05,600.08,98.93,3.11
137,6,688,53.75,7.02,23.92,11.39,55.62,654.32,74.7,10.0
138,6,807,53.42,7.609999999999999,27.61,9.44,55.7,573.5,115.31,10.0
139,6,895,49.89,7.74,30.81,12.62,62.66,623.7,80.1,2.67
140,6,678,55.6,7.94,30.43,11.99,50.4,645.1,108.0,6.89
141,6,32,55.32,9.44,28.21,12.48,63.34,632.57,76.32,4.22
142,6,881,57.48,7.98,24.91,8.29,55.51,522.86,80.45,5.78
143,6,600,52.85,8.01,25.09,10.56,49.91,556.31,116.54,5.44
144,6,285,50.11,9.64,32.55,12.67,49.84,743.62,80.69,10.0
145,7,414,56.25,5.92,26.66,6.359999999999999,69.66,554.04,74.05,10.0
146,7,617,54.57,6.960000000000001,26.0,6.93,56.08,506.86,70.59,2.0
147,7,829,53.23,4.68,26.82,9.56,67.87,691.82,99.78,2.78
148,7,666,49.11,7.65,25.55,10.74,60.97,695.95,119.08,10.0
149,7,445,51.42,8.92,26.45,9.44,59.72,405.8,112.16,7.0
150,7,101,48.05,8.71,26.81,9.64,52.69,497.51,106.84,2.0
151,7,802,49.36,8.57,25.88,11.41,55.42,443.56,77.37,2.33
152,7,757,54.78,9.68,26.21,10.17,46.65,440.02,94.18,10.0
153,7,152,48.53,7.86,26.37,11.02,51.9,539.53,113.81,10.0
154,7,270,53.58,9.94,31.01,9.08,57.26,656.25,109.63,7.67
155,7,393,51.08,8.69,26.44,12.68,50.48,546.58,94.65,10.0
156,7,124,50.73,7.859999999999999,25.85,8.27,52.18,462.92,119.65,6.67
157,7,341,53.57,8.02,32.45,12.33,48.66,674.94,60.97,4.56
158,7,974,48.98,6.93,27.74,8.17,55.78,519.8,69.16,10.0
159,7,439,55.21,9.21,29.76,12.87,45.81,632.73,75.49,5.0
160,7,818,50.2,7.69,28.19,12.41,54.05,518.8,108.59,3.33
161,7,688,48.7,8.7,23.52,8.6,61.17,501.72,114.54,10.0
162,7,807,52.68,8.31,29.49,9.65,56.21,455.42,96.96,7.11
163,7,895,48.0,8.24,26.01,10.21,47.78,423.36,62.13,10.0
164,7,678,57.28,9.15,30.07,10.29,54.03,416.49,99.95,2.89
165,7,32,56.39,7.63,25.1,12.55,52.54,609.63,105.17,7.22
166,7,881,49.87,6.65,25.89,9.86,64.52,512.02,79.57,5.78
167,7,600,53.88,8.72,25.53,10.31,46.93,565.15,113.56,10.0
168,7,285,54.23,9.11,30.25,10.99,63.21,679.29,75.68,5.0
169,8,414,54.96,6.16,23.15,7.3100000000000005,71.41,563.67,88.2,10.0
170,8,617,49.77,4.08,25.93,7.869999999999999,61.39,448.91,83.31,10.0
171,8,829,49.7,4.42,20.72,8.94,64.31,513.01,97.78,2.78
172,8,666,48.59,8.89,29.67,9.97,64.95,421.09,88.58,10.0
173,8,445,54.18,9.62,27.82,12.42,47.78,636.11,99.8,7.0
174,8,101,53.54,7.17,26.76,10.04,59.75,689.11,117.02,2.0
175,8,802,55.37,7.35,26.16,10.04,62.78,512.1,60.4,2.33
176,8,757,57.27,7.38,25.65,12.57,50.29,574.33,114.6,6.67
177,8,152,57.32,9.7,25.3,12.87,57.46,443.29,109.28,3.33
178,8,270,49.5,7.22,26.58,10.49,48.2,573.58,95.75,7.67
179,8,393,55.77,7.54,27.24,12.25,50.76,608.2,95.32,8.33
180,8,124,56.12,7.02,27.81,8.88,59.34,648.7,61.69,6.67
181,8,341,57.21,9.12,30.93,10.41,59.96,676.04,97.33,2.0
182,8,974,52.64,7.02,27.35,8.48,53.95,400.36,77.78,7.0
183,8,439,52.37,9.04,28.06,12.29,64.9,644.32,84.49,10.0
184,8,818,48.65,9.48,31.48,10.49,63.82,469.93,108.69,10.0
185,8,688,49.67,7.3100000000000005,23.2,10.04,49.28,588.05,100.69,7.33
186,8,807,51.17,6.84,26.94,10.93,63.91,494.63,102.94,2.67
187,8,895,49.6,9.36,25.58,12.75,60.78,553.47,82.93,10.0
188,8,678,48.1,8.94,30.24,10.12,59.15,449.13,69.16,8.33
189,8,32,50.26,8.57,26.27,11.66,47.0,650.31,81.43,10.0
190,8,881,51.45,7.859999999999999,23.29,11.53,59.98,697.56,68.24,10.0
191,8,600,57.47,7.48,31.51,12.44,56.9,429.22,77.74,3.0
192,8,285,53.01,9.85,31.88,9.71,48.51,599.31,78.71,10.0
193,9,414,54.37,5.720000000000001,25.4,8.03,70.84,530.49,73.8,10.0
194,9,617,54.25,5.539999999999999,20.09,6.16,64.0,411.86,117.53,10.0
195,9,829,54.3,5.43,22.45,6.83,57.15,657.38,88.43,4.0
196,9,666,50.92,6.32,29.98,10.72,52.95,586.67,85.03,10.0
197,9,445,49.82,9.82,27.42,12.67,45.97,634.08,93.72,7.0
198,9,101,49.78,9.25,28.73,9.78,58.36,683.17,104.88,3.89
199,9,802,49.71,7.47,26.72,11.82,50.48,590.6,119.98,10.0
200,9,757,52.55,8.29,26.55,12.7,55.23,452.61,77.29,6.67
201,9,152,48.28,7.64,28.88,10.34,48.5,673.02,88.96,3.33
202,9,270,51.55,9.28,27.25,12.12,60.85,494.56,106.54,10.0
203,9,393,55.51,7.73,27.0,9.65,63.22,588.71,103.35,7.89
204,9,124,50.12,7.51,24.52,9.08,46.64,528.8,113.45,6.0
205,9,341,57.09,7.45,30.77,12.34,47.21,579.67,73.91,3.33
206,9,974,54.35,7.42,25.43,11.26,52.14,524.51,106.1,7.0
207,9,439,51.14,8.74,31.28,11.52,63.27,506.6,72.34,10.0
208,9,818,56.79,8.08,28.8,9.67,63.79,541.58,116.37,10.0
209,9,688,54.62,7.460000000000001,26.84,9.48,51.33,466.2,62.95,3.0
210,9,807,53.33,7.66,23.12,11.87,62.65,454.12,112.87,10.0
211,9,895,56.73,8.09,25.11,12.59,51.37,679.19,70.16,10.0
212,9,678,49.6,8.1,26.76,9.72,63.22,464.67,104.83,8.33
213,9,32,54.69,7.83,27.83,12.25,62.89,599.46,114.33,7.0
214,9,881,55.22,7.359999999999999,27.77,10.81,45.4,554.26,70.65,2.11
215,9,600,54.5,7.56,31.37,9.24,49.81,452.47,102.74,6.11
216,9,285,48.85,8.58,31.13,12.56,57.53,580.14,96.94,10.0
217,10,414,53.24,5.75,22.19,6.449999999999999,61.29,507.76,106.06,10.0
218,10,617,51.19,6.17,20.86,8.53,67.12,419.76,105.0,2.67
219,10,829,52.87,4.0,23.83,9.46,56.99,699.15,113.91,10.0
220,10,666,53.52,7.970000000000001,24.0,9.17,58.57,456.23,90.81,10.0
221,10,445,50.78,9.6,28.18,11.12,53.42,658.44,86.92,7.0
222,10,101,55.6,7.98,25.22,12.21,53.74,667.88,78.22,8.33
223,10,802,54.64,7.43,30.91,12.83,48.13,447.11,65.86,10.0
224,10,757,56.1,7.28,29.03,10.49,64.84,580.05,116.71,10.0
225,10,152,57.12,9.35,27.77,9.79,55.22,690.21,113.27,2.0
226,10,270,51.41,9.09,30.67,10.16,59.09,593.05,118.57,4.0
227,10,393,54.93,8.58,26.56,9.49,54.0,514.29,89.67,7.89
228,10,124,49.44,7.77,28.28,11.41,55.02,469.89,105.09,10.0
229,10,341,52.73,7.59,31.07,12.05,64.9,474.2,103.16,6.0
230,10,974,53.38,6.1,25.5,10.41,60.31,422.5,100.0,7.0
231,10,439,51.51,9.65,28.44,9.82,46.55,666.68,117.53,10.0
232,10,818,55.74,7.1,26.5,9.42,47.44,439.59,98.38,10.0
233,10,688,53.46,7.58,26.42,8.8,52.99,650.06,74.86,3.0
234,10,807,51.44,8.38,25.98,8.07,61.77,699.04,60.46,6.11
235,10,895,52.86,7.42,30.81,12.73,47.2,441.85,86.28,10.0
236,10,678,51.08,7.42,26.8,11.66,53.61,561.88,94.53,2.22
237,10,32,48.89,9.72,28.3,11.64,53.63,481.76,104.78,3.89
238,10,881,53.13,7.93,29.45,11.15,54.9,435.88,109.74,2.11
239,10,600,56.3,8.45,28.75,11.86,51.22,485.18,61.03,7.33
240,10,285,53.16,9.74,32.59,10.15,57.28,600.4,80.78,7.78
241,11,414,49.77,5.98,21.42,9.9,62.51,461.55,108.9,10.0
242,11,617,56.85,5.140000000000001,26.01,9.72,64.86,640.2,117.85,10.0
243,11,829,57.62,5.98,24.41,8.03,59.07,635.11,67.23,10.0
244,11,666,58.0,7.59,29.08,10.49,54.61,506.34,64.6,3.0
245,11,445,54.93,7.91,27.88,12.12,52.93,669.85,87.01,6.56
246,11,101,55.87,8.04,31.29,11.35,58.36,568.51,104.89,7.78
247,11,802,48.74,8.16,28.62,9.66,60.83,559.6,113.05,4.0
248,11,757,56.03,9.79,28.9,10.64,49.53,578.48,73.04,10.0
249,11,152,57.62,7.75,30.66,11.22,54.63,425.83,113.86,2.0
250,11,270,57.69,7.14,26.65,10.36,56.02,454.92,75.52,6.56
251,11,393,57.42,8.98,30.88,11.97,47.87,625.67,72.37,10.0
252,11,124,51.33,6.36,25.89,8.71,53.65,585.5,103.15,2.22
253,11,341,49.47,8.16,31.34,11.54,62.3,644.66,114.67,10.0
254,11,974,48.83,7.949999999999999,26.8,10.88,47.88,587.47,112.52,10.0
255,11,439,55.94,9.29,26.87,11.15,58.57,682.25,68.01,10.0
256,11,818,50.06,9.38,29.19,9.29,59.61,540.87,64.89,3.44
257,11,688,57.48,6.87,23.48,10.46,50.04,581.69,92.2,10.0
258,11,807,56.41,6.46,28.72,8.07,54.72,551.08,116.27,10.0
259,11,895,55.32,9.75,25.77,10.2,58.79,519.23,113.48,10.0
260,11,678,53.64,9.7,27.19,11.19,54.24,462.15,111.04,2.22
261,11,32,57.77,8.92,25.15,11.8,52.77,673.23,93.87,3.89
262,11,881,55.79,6.78,26.29,8.92,55.94,447.05,77.42,7.0
263,11,600,54.75,8.49,26.89,9.27,61.61,589.81,86.19,3.44
264,11,285,54.17,9.02,26.33,12.91,54.74,587.4,63.99,6.0
265,12,414,54.05,6.74,25.98,7.220000000000001,59.05,504.71,65.7,2.11
266,12,617,54.61,4.68,24.09,9.58,58.21,694.11,69.33,2.22
267,12,829,53.18,4.53,26.88,7.5600000000000005,64.69,617.01,77.65,10.0
268,12,666,50.16,8.96,25.59,9.69,62.57,554.98,96.09,3.0
269,12,445,48.8,9.57,30.37,12.83,45.18,699.36,118.26,10.0
270,12,101,51.61,8.39,31.14,11.27,49.6,625.66,73.03,7.56
271,12,802,54.4,8.03,28.21,11.45,46.89,458.41,60.58,3.56
272,12,757,57.84,7.98,27.42,10.55,63.6,419.01,77.2,10.0
273,12,152,50.39,7.03,31.29,12.76,50.43,500.1,85.68,8.11
274,12,270,52.79,9.78,27.95,10.88,61.16,468.11,116.4,6.56
275,12,393,49.1,9.02,27.69,9.48,50.06,557.72,115.53,10.0
276,12,124,49.44,8.43,27.84,10.32,60.69,534.0,60.45,6.44
277,12,341,49.5,8.87,27.44,11.48,64.55,716.41,110.14,10.0
278,12,974,50.2,7.68,26.29,10.72,47.09,653.91,117.65,10.0
279,12,439,55.87,7.76,28.05,9.33,48.65,526.94,81.91,10.0
280,12,818,52.31,7.2,31.42,10.71,51.06,540.05,84.26,3.44
281,12,688,50.84,8.09,26.0,9.69,53.78,457.01,84.36,2.0
282,12,807,54.76,7.529999999999999,28.72,8.32,48.81,478.62,72.34,10.0
283,12,895,54.79,7.42,29.73,9.73,63.73,534.0,94.7,10.0
284,12,678,50.75,9.42,29.67,10.94,48.57,642.21,111.22,7.89
285,12,32,49.04,8.59,31.55,9.12,49.32,669.75,86.33,10.0
286,12,881,56.77,6.54,24.72,8.36,58.64,551.74,66.51,7.78
287,12,600,48.84,8.67,27.13,11.22,60.93,478.35,77.57,2.44
288,12,285,48.54,7.35,29.08,9.62,49.66,470.29,92.02,10.0
289,13,414,49.93,4.74,25.34,7.67,60.39,497.74,75.53,10.0
290,13,617,52.26,6.380000000000001,21.3,6.609999999999999,64.43,497.86,95.68,2.22
291,13,829,53.1,5.99,25.55,9.19,58.64,689.15,118.01,10.0
292,13,666,55.49,6.39,27.11,8.63,57.39,623.55,89.88,3.0
293,13,445,54.27,7.38,29.91,11.04,64.42,473.48,84.54,3.0
294,13,101,56.27,7.65,27.78,9.78,51.5,423.55,112.62,8.22
295,13,802,52.4,8.69,29.18,12.23,58.2,593.8,80.3,2.0
296,13,757,50.82,7.91,26.96,11.44,54.65,446.98,72.2,8.22
297,13,152,57.5,9.52,31.27,11.24,62.49,446.22,104.22,10.0
298,13,270,55.74,9.35,31.76,10.68,58.39,675.37,110.32,7.0
299,13,393,50.34,8.68,30.01,10.73,56.53,558.49,79.91,4.11
300,13,124,57.66,8.93,25.56,8.6,60.02,619.95,80.05,10.0
301,13,341,53.28,9.99,28.9,12.64,59.13,628.13,96.81,10.0
302,13,974,53.04,8.76,29.58,9.92,45.2,623.34,117.76,2.0
303,13,439,57.42,9.38,27.31,9.63,51.57,409.06,76.57,10.0
304,13,818,54.59,9.52,26.35,12.08,54.34,416.35,115.6,3.44
305,13,688,56.47,6.48,27.73,9.9,47.61,529.68,62.89,10.0
306,13,807,52.48,6.51,26.25,10.74,55.09,519.38,94.64,5.89
307,13,895,49.92,7.25,30.1,9.52,62.92,451.36,69.95,10.0
308,13,678,56.44,7.9,30.31,9.0,49.93,658.3,62.99,5.56
309,13,32,50.56,7.79,29.06,12.58,48.46,562.4,71.28,10.0
310,13,881,55.91,8.85,27.6,9.92,54.66,533.3,91.3,7.78
311,13,600,52.57,7.54,31.26,12.78,62.41,695.86,63.54,4.44
312,13,285,51.47,9.37,26.46,11.3,63.17,622.94,94.01,10.0
313,14,414,56.23,6.15,23.42,7.470000000000001,73.11,549.81,105.53,4.33
314,14,617,57.76,4.85,22.74,8.67,72.24000000000001,651.89,106.01,10.0
315,14,829,53.83,4.04,21.25,7.289999999999999,69.99000000000001,635.33,98.15,10.0
316,14,666,50.83,7.0600000000000005,29.53,8.52,55.52,622.68,96.15,3.0
317,14,445,53.01,9.06,31.85,11.07,64.72,494.51,110.89,3.0
318,14,101,53.44,9.19,29.79,9.22,49.19,493.99,69.3,10.0
319,14,802,56.44,8.93,30.3,10.69,63.71,629.23,76.9,2.0
320,14,757,57.32,9.78,30.4,9.91,63.28,443.44,106.62,6.44
321,14,152,50.78,8.62,30.86,10.66,45.8,459.03,106.29,5.0
322,14,270,48.02,8.95,25.02,9.44,56.35,620.93,105.81,5.78
323,14,393,49.58,7.86,27.69,9.75,50.8,620.41,109.22,4.22
324,14,124,51.2,8.89,27.02,9.85,46.74,651.66,75.84,10.0
325,14,341,57.16,8.38,30.8,9.66,48.01,632.62,84.77,8.33
326,14,974,52.24,7.49,26.72,8.27,54.21,648.6,84.49,2.0
327,14,439,52.86,7.36,25.17,9.3,53.5,456.6,117.87,10.0
328,14,818,56.45,8.57,30.98,11.06,64.27,554.02,111.34,5.67
329,14,688,57.49,6.56,27.38,9.42,56.83,661.46,85.41,10.0
330,14,807,57.45,6.73,29.34,9.28,52.04,501.99,67.09,10.0
331,14,895,48.9,8.79,26.89,12.81,58.54,648.81,97.29,3.56
332,14,678,53.62,9.62,30.78,12.53,52.86,615.6,69.86,10.0
333,14,32,53.95,9.55,31.75,11.81,47.8,465.08,81.77,10.0
334,14,881,52.57,7.279999999999999,24.16,9.32,51.42,638.76,73.01,7.78
335,14,600,53.48,7.91,32.0,9.07,56.27,483.13,90.75,5.0
336,14,285,52.58,8.48,30.63,12.97,58.03,561.88,79.5,10.0
337,15,414,53.77,4.83,25.01,6.369999999999999,63.76,409.66,96.91,10.0
338,15,617,55.93,6.15,21.54,6.49,70.5,454.07,96.37,4.33
339,15,829,51.4,6.890000000000001,24.53,6.42,61.39,415.83,105.12,4.22
340,15,666,55.41,8.2,29.81,8.99,53.25,687.84,71.01,3.0
341,15,445,52.54,8.99,27.52,12.48,61.96,591.01,61.57,3.0
342,15,101,56.32,9.58,29.59,12.86,51.16,568.7,66.39,10.0
343,15,802,56.5,9.74,31.25,12.09,60.9,630.07,76.82,6.0
344,15,757,51.16,8.84,30.7,11.71,47.28,421.92,86.62,5.67
345,15,152,52.96,8.68,27.24,12.94,48.08,547.12,95.22,10.0
346,15,270,51.81,8.25,26.64,11.9,50.55,636.26,112.05,5.78
347,15,393,55.3,8.24,28.03,12.78,63.41,506.72,65.92,10.0
348,15,124,48.29,8.65,26.58,9.67,47.35,520.19,91.21,10.0
349,15,341,53.91,8.01,26.92,12.64,46.94,477.74,62.76,3.67
350,15,974,49.99,7.17,23.07,9.24,57.0,420.92,118.22,2.0
351,15,439,57.85,9.38,26.48,10.03,49.48,509.82,93.06,10.0
352,15,818,50.71,8.1,29.53,10.34,49.6,567.26,68.17,4.0
353,15,688,57.48,8.57,27.55,8.72,57.7,486.36,92.94,5.33
354,15,807,55.89,8.07,27.11,11.81,54.0,550.96,67.0,10.0
355,15,895,54.25,8.83,28.31,10.84,47.46,485.42,102.88,10.0
356,15,678,52.99,8.63,26.94,10.67,45.98,689.7,66.45,10.0
357,15,32,49.95,7.16,30.66,9.23,63.5,425.27,109.6,6.33
358,15,881,48.86,6.14,25.41,10.39,61.38,684.38,70.44,4.67
