ID_Entrainement,ID_Joueur,Date_Entrainement,Durée,Intensité,Distance_Parcourue,Sprint_Max,Type_Exercice,Catégorie,Saison
23,756,2022-07-22,73,Élevée,9.81,30.25,Sprint,Cadet B,2022-2023
24,728,2022-07-22,115,Élevée,7.67,30.3,Endurance,Cadet B,2022-2023
25,449,2022-07-22,114,Moyenne,6.65,29.68,Sprint,Cadet B,2022-2023
26,723,2022-07-22,94,Faible,4.21,21.18,Technique,Cadet B,2022-2023
27,610,2022-07-22,87,Moyenne,5.01,29.58,Match d’entraînement,Cadet B,2022-2023
28,825,2022-07-22,99,Faible,3.03,21.84,Endurance,Cadet B,2022-2023
29,213,2022-07-22,96,Moyenne,5.0,28.19,Technique,Cadet B,2022-2023
30,211,2022-07-22,100,Élevée,7.87,31.88,Sprint,Cadet B,2022-2023
31,348,2022-07-22,107,Faible,4.62,22.34,Sprint,Cadet B,2022-2023
32,748,2022-07-22,102,Élevée,7.78,30.04,Endurance,Cadet B,2022-2023
33,147,2022-07-22,66,Moyenne,5.8,29.04,Sprint,Cadet B,2022-2023
34,176,2022-07-22,95,Élevée,9.33,30.17,Endurance,Cadet B,2022-2023
35,668,2022-07-22,76,Élevée,9.27,30.39,Match d’entraînement,Cadet B,2022-2023
36,942,2022-07-22,97,Élevée,8.02,32.32,Match d’entraînement,Cadet B,2022-2023
37,827,2022-07-22,108,Faible,4.93,23.67,Endurance,Cadet B,2022-2023
38,434,2022-07-22,120,Élevée,9.25,30.4,Endurance,Cadet B,2022-2023
39,212,2022-07-22,75,Faible,4.35,22.87,Technique,Cadet B,2022-2023
40,468,2022-07-22,96,Élevée,9.68,31.06,Match d’entraînement,Cadet B,2022-2023
41,571,2022-07-22,68,Moyenne,6.56,27.47,Technique,Cadet B,2022-2023
42,115,2022-07-22,95,Faible,3.24,20.54,Endurance,Elite,2022-2023
43,621,2022-07-22,71,Moyenne,5.06,27.45,Match d’entraînement,Elite,2022-2023
44,669,2022-07-22,67,Moyenne,5.63,28.13,Endurance,Elite,2022-2023
45,461,2022-07-22,117,Élevée,8.9,32.13,Match d’entraînement,Elite,2022-2023
46,774,2022-07-22,112,Moyenne,6.03,28.02,Match d’entraînement,Elite,2022-2023
47,646,2022-07-22,113,Élevée,7.68,31.33,Technique,Elite,2022-2023
48,491,2022-07-22,74,Moyenne,5.19,27.22,Technique,Elite,2022-2023
49,968,2022-07-22,66,Faible,4.97,24.4,Match d’entraînement,Elite,2022-2023
50,98,2022-07-22,91,Élevée,8.02,32.52,Match d’entraînement,Elite,2022-2023
51,297,2022-07-22,90,Faible,3.01,25.96,Sprint,Elite,2022-2023
52,229,2022-07-22,100,Faible,4.13,20.97,Endurance,Elite,2022-2023
53,810,2022-07-22,70,Moyenne,6.2,27.99,Sprint,Elite,2022-2023
54,793,2022-07-22,64,Faible,4.12,24.46,Match d’entraînement,Elite,2022-2023
55,578,2022-07-22,110,Élevée,7.63,32.39,Technique,Elite,2022-2023
56,311,2022-07-22,77,Faible,3.39,25.38,Endurance,Elite,2022-2023
57,237,2022-07-22,109,Faible,4.43,22.54,Sprint,Elite,2022-2023
58,428,2022-07-22,88,Moyenne,6.86,29.67,Endurance,Elite,2022-2023
59,269,2022-07-22,115,Faible,3.48,24.19,Technique,Elite,2022-2023
60,359,2022-07-22,66,Faible,3.1,21.47,Technique,Elite,2022-2023
61,527,2022-07-22,86,Moyenne,5.7,26.88,Technique,Elite,2022-2023
62,573,2022-07-22,98,Faible,4.29,20.75,Sprint,Elite,2022-2023
63,162,2022-07-22,109,Élevée,8.17,31.26,Match d’entraînement,Elite,2022-2023
64,680,2022-07-22,105,Faible,4.87,20.88,Sprint,Junior,2022-2023
65,376,2022-07-22,60,Faible,4.43,23.61,Sprint,Junior,2022-2023
66,879,2022-07-22,80,Élevée,9.87,31.69,Match d’entraînement,Junior,2022-2023
67,205,2022-07-22,76,Moyenne,7.2,26.36,Sprint,Junior,2022-2023
68,884,2022-07-22,119,Moyenne,6.54,26.77,Match d’entraînement,Junior,2022-2023
69,242,2022-07-22,90,Faible,4.41,25.43,Technique,Junior,2022-2023
70,432,2022-07-22,99,Faible,3.91,25.33,Technique,Junior,2022-2023
71,767,2022-07-22,92,Moyenne,5.09,29.37,Sprint,Junior,2022-2023
72,893,2022-07-22,98,Moyenne,5.95,28.52,Sprint,Junior,2022-2023
73,301,2022-07-22,72,Élevée,8.91,30.11,Sprint,Junior,2022-2023
74,697,2022-07-22,85,Moyenne,7.19,28.03,Endurance,Junior,2022-2023
75,261,2022-07-22,115,Élevée,9.59,32.68,Sprint,Junior,2022-2023
76,832,2022-07-22,99,Faible,4.84,25.59,Sprint,Junior,2022-2023
77,93,2022-07-22,74,Faible,4.84,23.37,Sprint,Junior,2022-2023
78,354,2022-07-22,74,Moyenne,5.28,27.3,Sprint,Junior,2022-2023
79,87,2022-07-22,95,Moyenne,6.56,27.71,Endurance,Junior,2022-2023
80,249,2022-07-22,106,Faible,3.41,20.74,Endurance,Junior,2022-2023
81,931,2022-07-22,92,Élevée,8.94,32.21,Match d’entraînement,Junior,2022-2023
82,811,2022-07-22,114,Faible,4.62,24.25,Endurance,Junior,2022-2023
83,658,2022-07-22,107,Élevée,7.68,31.5,Sprint,Junior,2022-2023
84,56,2022-07-22,60,Élevée,9.77,31.26,Sprint,Junior,2022-2023
85,561,2022-07-22,77,Élevée,8.13,30.81,Sprint,Minime A,2022-2023
86,47,2022-07-22,76,Faible,3.29,24.05,Sprint,Minime A,2022-2023
87,565,2022-07-22,68,Moyenne,5.01,28.86,Sprint,Minime A,2022-2023
88,286,2022-07-22,112,Élevée,7.52,31.32,Endurance,Minime A,2022-2023
89,657,2022-07-22,105,Élevée,7.74,32.75,Endurance,Minime A,2022-2023
90,145,2022-07-22,89,Moyenne,7.01,27.83,Sprint,Minime A,2022-2023
91,104,2022-07-22,64,Élevée,9.69,31.39,Sprint,Minime A,2022-2023
92,313,2022-07-22,119,Élevée,9.25,30.6,Technique,Minime A,2022-2023
93,588,2022-07-22,85,Élevée,9.53,30.65,Technique,Minime A,2022-2023
94,917,2022-07-22,104,Moyenne,6.24,28.0,Technique,Minime A,2022-2023
95,316,2022-07-22,63,Moyenne,5.1,28.95,Endurance,Minime A,2022-2023
96,871,2022-07-22,75,Faible,3.86,25.0,Sprint,Minime A,2022-2023
97,628,2022-07-22,99,Faible,4.47,25.07,Match d’entraînement,Minime A,2022-2023
98,654,2022-07-22,107,Faible,3.23,24.23,Sprint,Minime A,2022-2023
99,188,2022-07-22,76,Élevée,9.9,30.43,Endurance,Minime A,2022-2023
100,236,2022-07-22,108,Moyenne,5.73,27.99,Match d’entraînement,Minime A,2022-2023
101,906,2022-07-22,76,Élevée,9.58,31.16,Sprint,Minime A,2022-2023
102,79,2022-07-22,64,Moyenne,5.15,26.14,Technique,Minime A,2022-2023
103,550,2022-07-22,83,Moyenne,5.0,29.63,Match d’entraînement,Minime A,2022-2023
104,489,2022-07-22,120,Faible,3.79,20.19,Sprint,Minime A,2022-2023
105,469,2022-07-22,109,Élevée,8.09,32.28,Sprint,Minime A,2022-2023
106,472,2022-07-22,79,Faible,3.56,21.09,Match d’entraînement,Minime A,2022-2023
107,718,2022-07-22,64,Élevée,9.75,32.04,Match d’entraînement,Minime B,2022-2023
108,587,2022-07-22,75,Moyenne,6.3,26.57,Sprint,Minime B,2022-2023
109,753,2022-07-22,108,Moyenne,5.69,28.91,Endurance,Minime B,2022-2023
110,88,2022-07-22,79,Élevée,9.09,32.74,Match d’entraînement,Minime B,2022-2023
111,843,2022-07-22,87,Moyenne,5.83,27.84,Endurance,Minime B,2022-2023
112,180,2022-07-22,60,Élevée,9.68,31.5,Sprint,Minime B,2022-2023
113,944,2022-07-22,103,Élevée,7.91,31.04,Sprint,Minime B,2022-2023
114,982,2022-07-22,105,Faible,3.66,20.19,Sprint,Minime B,2022-2023
115,914,2022-07-22,65,Faible,3.61,23.1,Endurance,Minime B,2022-2023
116,168,2022-07-22,107,Moyenne,5.25,26.86,Match d’entraînement,Minime B,2022-2023
117,409,2022-07-22,114,Élevée,9.92,32.28,Sprint,Minime B,2022-2023
118,826,2022-07-22,119,Élevée,9.31,30.12,Endurance,Minime B,2022-2023
119,275,2022-07-22,65,Élevée,7.51,30.76,Technique,Minime B,2022-2023
120,107,2022-07-22,75,Faible,3.68,21.46,Match d’entraînement,Minime B,2022-2023
121,607,2022-07-22,76,Moyenne,5.58,28.42,Match d’entraînement,Minime B,2022-2023
122,11,2022-07-22,101,Élevée,9.5,32.16,Match d’entraînement,Minime B,2022-2023
123,862,2022-07-22,114,Élevée,9.61,31.68,Technique,Minime B,2022-2023
124,664,2022-07-22,113,Élevée,8.04,30.57,Match d’entraînement,Senior,2022-2023
125,77,2022-07-22,100,Faible,4.44,22.11,Sprint,Senior,2022-2023
126,943,2022-07-22,75,Faible,4.93,20.72,Match d’entraînement,Senior,2022-2023
127,731,2022-07-22,102,Faible,3.57,21.62,Match d’entraînement,Senior,2022-2023
128,849,2022-07-22,89,Élevée,9.56,30.52,Technique,Senior,2022-2023
129,406,2022-07-22,74,Faible,4.89,22.38,Endurance,Senior,2022-2023
130,18,2022-07-22,71,Moyenne,7.07,29.48,Technique,Senior,2022-2023
131,89,2022-07-22,82,Faible,4.04,25.19,Endurance,Senior,2022-2023
132,976,2022-07-22,73,Faible,3.79,20.08,Sprint,Senior,2022-2023
133,258,2022-07-22,117,Élevée,9.88,31.16,Technique,Senior,2022-2023
134,206,2022-07-22,62,Moyenne,6.5,26.58,Endurance,Senior,2022-2023
135,831,2022-07-22,68,Moyenne,5.63,29.6,Sprint,Senior,2022-2023
136,866,2022-07-22,101,Moyenne,6.07,26.18,Endurance,Senior,2022-2023
137,897,2022-07-22,92,Élevée,8.36,30.46,Sprint,Senior,2022-2023
138,66,2022-07-22,107,Moyenne,7.4,29.02,Endurance,Senior,2022-2023
139,342,2022-07-22,91,Faible,3.99,20.43,Sprint,Senior,2022-2023
140,30,2022-07-22,113,Moyenne,5.59,26.14,Endurance,Senior,2022-2023
141,100,2022-07-22,102,Élevée,7.58,30.16,Match d’entraînement,Senior,2022-2023
142,726,2022-07-22,89,Moyenne,6.34,28.7,Technique,Senior,2022-2023
143,809,2022-07-22,83,Faible,3.33,20.65,Endurance,Senior,2022-2023
144,380,2022-07-22,112,Faible,4.49,23.64,Match d’entraînement,Senior,2022-2023
145,341,2022-07-25,62,Élevée,9.6,32.38,Technique,Cadet A,2022-2023
146,666,2022-07-25,72,Faible,3.63,24.93,Match d’entraînement,Cadet A,2022-2023
147,757,2022-07-25,86,Faible,3.15,22.52,Sprint,Cadet A,2022-2023
148,101,2022-07-25,103,Faible,3.29,22.24,Sprint,Cadet A,2022-2023
149,285,2022-07-25,118,Élevée,8.18,30.15,Endurance,Cadet A,2022-2023
150,829,2022-07-25,71,Élevée,9.34,30.96,Match d’entraînement,Cadet A,2022-2023
151,270,2022-07-25,74,Faible,3.96,21.39,Match d’entraînement,Cadet A,2022-2023
152,678,2022-07-25,67,Moyenne,5.6,26.61,Match d’entraînement,Cadet A,2022-2023
153,414,2022-07-25,119,Faible,3.59,20.66,Match d’entraînement,Cadet A,2022-2023
154,439,2022-07-25,73,Élevée,9.12,31.61,Sprint,Cadet A,2022-2023
155,807,2022-07-25,104,Élevée,7.69,32.88,Technique,Cadet A,2022-2023
156,393,2022-07-25,108,Faible,3.15,22.7,Match d’entraînement,Cadet A,2022-2023
157,688,2022-07-25,84,Élevée,9.39,32.93,Endurance,Cadet A,2022-2023
158,445,2022-07-25,79,Moyenne,6.79,26.84,Sprint,Cadet A,2022-2023
159,617,2022-07-25,65,Faible,3.41,21.31,Match d’entraînement,Cadet A,2022-2023
160,974,2022-07-25,120,Moyenne,5.47,26.26,Technique,Cadet A,2022-2023
161,818,2022-07-25,60,Élevée,9.56,30.98,Sprint,Cadet A,2022-2023
162,152,2022-07-25,99,Moyenne,6.09,26.41,Technique,Cadet A,2022-2023
163,124,2022-07-25,75,Faible,3.07,23.42,Match d’entraînement,Cadet A,2022-2023
164,600,2022-07-25,72,Élevée,8.74,32.55,Match d’entraînement,Cadet A,2022-2023
165,213,2022-07-25,110,Faible,3.07,20.7,Endurance,Cadet B,2022-2023
166,176,2022-07-25,114,Élevée,9.83,30.41,Match d’entraînement,Cadet B,2022-2023
167,582,2022-07-25,89,Moyenne,5.54,28.8,Technique,Cadet B,2022-2023
168,728,2022-07-25,82,Faible,3.29,21.91,Sprint,Cadet B,2022-2023
169,529,2022-07-25,101,Élevée,8.78,32.68,Technique,Cadet B,2022-2023
170,723,2022-07-25,96,Moyenne,6.21,28.79,Technique,Cadet B,2022-2023
171,449,2022-07-25,83,Faible,3.6,22.96,Match d’entraînement,Cadet B,2022-2023
172,147,2022-07-25,94,Moyenne,6.13,27.08,Sprint,Cadet B,2022-2023
173,468,2022-07-25,82,Élevée,9.32,32.15,Endurance,Cadet B,2022-2023
174,668,2022-07-25,98,Élevée,9.19,30.68,Endurance,Cadet B,2022-2023
175,610,2022-07-25,94,Moyenne,7.43,28.71,Technique,Cadet B,2022-2023
176,212,2022-07-25,112,Élevée,9.86,32.77,Endurance,Cadet B,2022-2023
177,348,2022-07-25,61,Moyenne,6.05,27.01,Sprint,Cadet B,2022-2023
178,689,2022-07-25,103,Faible,3.19,24.18,Match d’entraînement,Cadet B,2022-2023
179,939,2022-07-25,94,Faible,3.94,20.18,Sprint,Cadet B,2022-2023
180,825,2022-07-25,66,Faible,3.82,24.74,Sprint,Cadet B,2022-2023
181,571,2022-07-25,64,Moyenne,6.49,27.37,Technique,Cadet B,2022-2023
182,942,2022-07-25,100,Moyenne,6.86,27.07,Technique,Cadet B,2022-2023
183,748,2022-07-25,97,Moyenne,7.17,26.43,Endurance,Cadet B,2022-2023
184,827,2022-07-25,78,Faible,4.74,22.49,Sprint,Cadet B,2022-2023
185,756,2022-07-25,116,Moyenne,6.35,29.29,Endurance,Cadet B,2022-2023
186,476,2022-07-25,97,Faible,4.68,22.15,Sprint,Cadet B,2022-2023
187,269,2022-07-25,100,Moyenne,5.12,28.12,Match d’entraînement,Elite,2022-2023
188,793,2022-07-25,63,Faible,4.84,24.4,Endurance,Elite,2022-2023
189,115,2022-07-25,85,Moyenne,5.18,26.66,Technique,Elite,2022-2023
190,527,2022-07-25,116,Moyenne,6.46,29.7,Match d’entraînement,Elite,2022-2023
191,229,2022-07-25,105,Moyenne,7.38,28.07,Sprint,Elite,2022-2023
192,42,2022-07-25,93,Faible,3.45,20.39,Technique,Elite,2022-2023
193,359,2022-07-25,99,Faible,3.47,21.41,Endurance,Elite,2022-2023
194,968,2022-07-25,117,Moyenne,6.77,27.87,Match d’entraînement,Elite,2022-2023
195,237,2022-07-25,61,Élevée,8.8,30.67,Sprint,Elite,2022-2023
196,646,2022-07-25,104,Élevée,8.79,31.11,Sprint,Elite,2022-2023
197,491,2022-07-25,116,Faible,4.36,22.69,Sprint,Elite,2022-2023
198,886,2022-07-25,102,Faible,3.78,20.31,Endurance,Elite,2022-2023
199,573,2022-07-25,81,Moyenne,6.32,29.62,Sprint,Elite,2022-2023
200,774,2022-07-25,80,Moyenne,5.9,26.06,Match d’entraînement,Elite,2022-2023
201,204,2022-07-25,118,Élevée,8.81,30.83,Endurance,Elite,2022-2023
202,162,2022-07-25,101,Moyenne,7.01,29.92,Endurance,Elite,2022-2023
203,621,2022-07-25,114,Moyenne,7.16,29.19,Endurance,Elite,2022-2023
204,461,2022-07-25,97,Moyenne,5.5,27.6,Sprint,Elite,2022-2023
205,669,2022-07-25,115,Faible,3.98,25.0,Technique,Elite,2022-2023
206,428,2022-07-25,70,Moyenne,5.04,28.99,Sprint,Elite,2022-2023
207,311,2022-07-25,81,Faible,3.86,24.98,Sprint,Elite,2022-2023
208,578,2022-07-25,113,Élevée,9.48,30.83,Endurance,Elite,2022-2023
209,884,2022-07-25,88,Élevée,9.17,30.3,Match d’entraînement,Junior,2022-2023
210,432,2022-07-25,82,Élevée,9.07,30.25,Endurance,Junior,2022-2023
211,658,2022-07-25,95,Moyenne,7.28,29.45,Sprint,Junior,2022-2023
212,376,2022-07-25,88,Moyenne,5.98,29.5,Technique,Junior,2022-2023
213,697,2022-07-25,99,Élevée,7.77,31.11,Match d’entraînement,Junior,2022-2023
214,87,2022-07-25,82,Faible,3.31,25.94,Match d’entraînement,Junior,2022-2023
215,680,2022-07-25,116,Élevée,9.22,30.33,Technique,Junior,2022-2023
216,164,2022-07-25,90,Faible,3.62,23.3,Match d’entraînement,Junior,2022-2023
217,219,2022-07-25,116,Faible,4.21,21.69,Technique,Junior,2022-2023
218,56,2022-07-25,115,Faible,3.08,22.51,Technique,Junior,2022-2023
219,205,2022-07-25,117,Faible,3.7,25.24,Technique,Junior,2022-2023
220,301,2022-07-25,62,Élevée,8.54,32.94,Technique,Junior,2022-2023
221,261,2022-07-25,113,Faible,3.93,23.31,Sprint,Junior,2022-2023
222,811,2022-07-25,106,Faible,3.46,23.62,Technique,Junior,2022-2023
223,767,2022-07-25,73,Faible,4.35,20.38,Sprint,Junior,2022-2023
224,832,2022-07-25,100,Élevée,9.19,30.45,Sprint,Junior,2022-2023
225,931,2022-07-25,76,Élevée,8.69,30.33,Sprint,Junior,2022-2023
226,879,2022-07-25,60,Faible,3.0,20.12,Sprint,Junior,2022-2023
227,354,2022-07-25,113,Moyenne,5.16,29.8,Match d’entraînement,Junior,2022-2023
228,249,2022-07-25,88,Moyenne,6.16,26.56,Endurance,Junior,2022-2023
229,242,2022-07-25,76,Élevée,9.79,32.7,Match d’entraînement,Junior,2022-2023
230,786,2022-07-25,83,Faible,4.63,22.4,Match d’entraînement,Junior,2022-2023
231,565,2022-07-25,98,Élevée,8.45,30.6,Sprint,Minime A,2022-2023
232,260,2022-07-25,106,Faible,3.07,20.2,Technique,Minime A,2022-2023
233,236,2022-07-25,99,Moyenne,6.21,26.07,Sprint,Minime A,2022-2023
234,628,2022-07-25,94,Moyenne,7.29,29.84,Endurance,Minime A,2022-2023
235,489,2022-07-25,61,Faible,3.8,24.43,Endurance,Minime A,2022-2023
236,47,2022-07-25,106,Faible,3.6,24.63,Match d’entraînement,Minime A,2022-2023
237,567,2022-07-25,86,Élevée,9.11,32.81,Technique,Minime A,2022-2023
238,469,2022-07-25,112,Moyenne,5.85,27.2,Endurance,Minime A,2022-2023
239,657,2022-07-25,79,Élevée,9.54,32.03,Match d’entraînement,Minime A,2022-2023
240,79,2022-07-25,118,Élevée,8.81,32.19,Match d’entraînement,Minime A,2022-2023
241,97,2022-07-25,64,Faible,3.57,22.37,Match d’entraînement,Minime A,2022-2023
242,145,2022-07-25,66,Faible,4.74,20.81,Endurance,Minime A,2022-2023
243,561,2022-07-25,84,Faible,4.95,21.58,Technique,Minime A,2022-2023
244,316,2022-07-25,69,Élevée,9.23,30.69,Sprint,Minime A,2022-2023
245,588,2022-07-25,73,Élevée,8.96,30.17,Technique,Minime A,2022-2023
246,654,2022-07-25,66,Élevée,8.9,30.44,Endurance,Minime A,2022-2023
247,906,2022-07-25,91,Élevée,9.36,31.38,Match d’entraînement,Minime A,2022-2023
248,286,2022-07-25,83,Faible,4.23,23.77,Match d’entraînement,Minime A,2022-2023
249,104,2022-07-25,61,Faible,3.23,21.6,Endurance,Minime A,2022-2023
250,313,2022-07-25,120,Moyenne,5.84,28.33,Sprint,Minime A,2022-2023
251,472,2022-07-25,76,Moyenne,6.93,28.43,Match d’entraînement,Minime A,2022-2023
252,836,2022-07-25,105,Moyenne,6.65,27.13,Technique,Minime B,2022-2023
253,944,2022-07-25,60,Faible,4.82,23.56,Match d’entraînement,Minime B,2022-2023
254,587,2022-07-25,75,Faible,3.04,20.78,Technique,Minime B,2022-2023
255,275,2022-07-25,60,Faible,3.81,22.65,Endurance,Minime B,2022-2023
256,718,2022-07-25,78,Faible,4.64,24.03,Sprint,Minime B,2022-2023
257,914,2022-07-25,115,Moyenne,5.3,28.76,Technique,Minime B,2022-2023
258,826,2022-07-25,109,Moyenne,6.05,27.57,Endurance,Minime B,2022-2023
259,215,2022-07-25,68,Faible,3.89,22.07,Endurance,Minime B,2022-2023
260,753,2022-07-25,104,Élevée,8.02,30.29,Endurance,Minime B,2022-2023
261,88,2022-07-25,105,Faible,4.57,24.47,Technique,Minime B,2022-2023
262,409,2022-07-25,77,Élevée,8.2,31.33,Match d’entraînement,Minime B,2022-2023
263,168,2022-07-25,106,Moyenne,5.26,27.73,Endurance,Minime B,2022-2023
264,892,2022-07-25,115,Moyenne,5.62,26.68,Endurance,Minime B,2022-2023
265,607,2022-07-25,91,Faible,3.98,24.02,Technique,Minime B,2022-2023
266,180,2022-07-25,76,Faible,3.42,25.6,Technique,Minime B,2022-2023
267,11,2022-07-25,111,Faible,4.58,22.14,Technique,Minime B,2022-2023
268,843,2022-07-25,81,Élevée,8.21,32.01,Endurance,Minime B,2022-2023
269,943,2022-07-25,105,Moyenne,5.64,27.64,Sprint,Senior,2022-2023
270,726,2022-07-25,114,Faible,3.14,25.41,Sprint,Senior,2022-2023
271,664,2022-07-25,101,Moyenne,6.2,28.46,Endurance,Senior,2022-2023
272,715,2022-07-25,87,Moyenne,6.28,26.24,Sprint,Senior,2022-2023
273,406,2022-07-25,75,Élevée,8.4,32.06,Match d’entraînement,Senior,2022-2023
274,38,2022-07-25,106,Élevée,9.97,32.23,Match d’entraînement,Senior,2022-2023
275,66,2022-07-25,97,Élevée,9.84,32.26,Technique,Senior,2022-2023
276,342,2022-07-25,75,Faible,3.13,22.43,Match d’entraînement,Senior,2022-2023
277,258,2022-07-25,108,Faible,4.06,23.77,Technique,Senior,2022-2023
278,590,2022-07-25,68,Élevée,8.34,30.41,Endurance,Senior,2022-2023
279,77,2022-07-25,114,Élevée,9.84,30.87,Technique,Senior,2022-2023
280,731,2022-07-25,115,Faible,3.61,23.97,Endurance,Senior,2022-2023
281,809,2022-07-25,83,Moyenne,5.45,28.62,Endurance,Senior,2022-2023
282,100,2022-07-25,101,Faible,3.92,24.13,Endurance,Senior,2022-2023
283,976,2022-07-25,117,Élevée,9.72,30.93,Endurance,Senior,2022-2023
284,849,2022-07-25,114,Faible,3.78,23.16,Technique,Senior,2022-2023
285,831,2022-07-25,68,Moyenne,6.59,28.29,Technique,Senior,2022-2023
286,18,2022-07-25,91,Faible,4.72,25.84,Sprint,Senior,2022-2023
287,897,2022-07-25,82,Faible,4.2,24.42,Match d’entraînement,Senior,2022-2023
288,206,2022-07-25,87,Élevée,9.71,30.76,Sprint,Senior,2022-2023
289,996,2022-07-25,103,Faible,4.28,24.38,Sprint,Senior,2022-2023
290,380,2022-07-25,105,Élevée,9.47,31.81,Sprint,Senior,2022-2023
291,124,2022-07-26,105,Faible,4.34,23.82,Technique,Cadet A,2022-2023
292,829,2022-07-26,120,Faible,3.1,24.4,Technique,Cadet A,2022-2023
293,439,2022-07-26,72,Élevée,9.14,31.86,Sprint,Cadet A,2022-2023
294,895,2022-07-26,104,Moyenne,5.28,26.99,Match d’entraînement,Cadet A,2022-2023
295,152,2022-07-26,113,Faible,3.81,20.61,Technique,Cadet A,2022-2023
296,445,2022-07-26,75,Moyenne,6.55,29.51,Match d’entraînement,Cadet A,2022-2023
297,32,2022-07-26,64,Élevée,9.42,32.57,Endurance,Cadet A,2022-2023
298,285,2022-07-26,104,Faible,4.83,23.07,Endurance,Cadet A,2022-2023
299,393,2022-07-26,102,Moyenne,6.16,27.31,Endurance,Cadet A,2022-2023
300,678,2022-07-26,111,Moyenne,7.02,29.16,Sprint,Cadet A,2022-2023
301,270,2022-07-26,114,Moyenne,6.43,28.74,Sprint,Cadet A,2022-2023
302,757,2022-07-26,64,Élevée,9.71,31.86,Endurance,Cadet A,2022-2023
303,881,2022-07-26,103,Faible,3.66,20.34,Technique,Cadet A,2022-2023
304,807,2022-07-26,74,Moyenne,6.48,28.33,Technique,Cadet A,2022-2023
305,688,2022-07-26,60,Élevée,8.71,30.56,Technique,Cadet A,2022-2023
306,341,2022-07-26,79,Faible,4.87,20.79,Match d’entraînement,Cadet A,2022-2023
307,414,2022-07-26,107,Faible,3.88,20.6,Match d’entraînement,Cadet A,2022-2023
308,974,2022-07-26,112,Élevée,9.53,30.05,Match d’entraînement,Cadet A,2022-2023
309,617,2022-07-26,87,Faible,4.03,22.26,Technique,Cadet A,2022-2023
310,101,2022-07-26,107,Élevée,7.98,30.74,Match d’entraînement,Cadet A,2022-2023
311,802,2022-07-26,113,Faible,4.03,24.59,Sprint,Cadet A,2022-2023
312,147,2022-07-26,110,Élevée,9.74,32.28,Sprint,Cadet B,2022-2023
313,212,2022-07-26,72,Faible,3.77,24.49,Match d’entraînement,Cadet B,2022-2023
314,211,2022-07-26,76,Élevée,7.53,32.15,Sprint,Cadet B,2022-2023
315,942,2022-07-26,68,Élevée,8.61,31.33,Technique,Cadet B,2022-2023
316,449,2022-07-26,102,Moyenne,5.36,27.27,Endurance,Cadet B,2022-2023
317,825,2022-07-26,97,Moyenne,6.29,29.67,Match d’entraînement,Cadet B,2022-2023
318,434,2022-07-26,99,Élevée,8.53,30.29,Endurance,Cadet B,2022-2023
319,756,2022-07-26,80,Faible,4.18,21.0,Technique,Cadet B,2022-2023
320,668,2022-07-26,83,Moyenne,7.22,29.78,Technique,Cadet B,2022-2023
321,582,2022-07-26,70,Élevée,9.9,32.26,Sprint,Cadet B,2022-2023
322,610,2022-07-26,111,Faible,3.12,21.82,Match d’entraînement,Cadet B,2022-2023
323,213,2022-07-26,96,Moyenne,5.88,26.86,Match d’entraînement,Cadet B,2022-2023
324,571,2022-07-26,84,Moyenne,6.23,26.36,Match d’entraînement,Cadet B,2022-2023
325,176,2022-07-26,97,Moyenne,5.85,29.24,Endurance,Cadet B,2022-2023
