ID_Technique,ID_Match,ID_Joueur,Nombre_Passes,Précision_Passes,Réception_Réussie,Contrôle_Balle,Nombre_Tirs,Précision_Tirs,Duels_Aériens_Gagnés,Centres_Réussis,Dribbles_Réussis,Interceptions,Tacles_Réussis,Conversion_Occasions
126,6,101,57,84.69,21,91.02,1,39.42,8,11,10,10,15,0.0
127,6,802,98,96.93,30,99.71,1,56.58,7,3,6,13,12,100.0
128,6,757,57,81.83,21,97.98,1,26.67,6,6,12,9,14,0.0
129,6,152,94,96.27,28,94.26,4,56.85,8,3,8,13,14,0.0
130,6,270,73,96.99,28,86.01,1,45.63,6,3,5,11,6,0.0
131,6,393,94,90.96,16,87.09,1,53.94,8,8,12,11,13,0.0
132,6,124,43,77.01,19,75.86,0,12.43,16,10,1,11,19,0.0
133,6,341,17,84.14,21,92.66,8,46.06,8,18,10,3,2,0.0
134,6,974,70,75.35,14,83.66,3,31.36,10,4,4,14,13,0.0
135,6,439,57,89.24,19,88.71,5,55.15,3,12,9,14,9,0.0
136,6,818,70,82.7,24,99.86,4,28.06,5,4,5,8,15,0.0
137,6,688,41,90.53,13,88.9,3,20.78,9,10,2,19,20,0.0
138,6,807,36,78.71,12,92.81,1,32.08,7,6,5,16,11,0.0
139,6,895,53,80.9,18,87.18,5,57.94,6,3,8,15,11,20.0
140,6,678,60,81.77,18,93.21,4,53.57,9,10,6,12,5,0.0
141,6,32,72,92.25,27,95.85,2,49.89,3,8,7,12,8,0.0
142,6,881,55,85.36,25,78.62,0,14.65,15,9,1,14,8,0.0
143,6,600,61,94.05,28,91.48,1,35.55,10,10,9,8,7,0.0
144,6,285,37,75.69,10,94.97,11,73.11,10,17,7,2,5,9.09
145,7,414,18,83.76,5,77.98,0,0.0,5,0,0,9,3,0.0
146,7,617,26,84.65,13,78.39,0,0.0,6,0,0,5,7,0.0
147,7,829,16,80.11,9,72.1,0,0.0,11,4,0,9,3,0.0
148,7,666,69,71.9,11,82.11,2,20.57,13,2,0,14,7,0.0
149,7,445,65,77.88,19,89.59,1,33.95,2,2,4,13,4,0.0
150,7,101,52,76.92,18,84.06,3,50.13,6,9,6,9,4,0.0
151,7,802,51,78.87,24,76.95,1,33.2,3,11,5,9,11,0.0
152,7,757,73,76.63,25,84.85,1,26.73,4,8,9,8,4,0.0
153,7,152,85,74.95,17,79.39,2,52.19,4,11,10,9,5,0.0
154,7,270,79,74.38,16,87.84,1,26.18,7,9,9,8,4,0.0
155,7,393,54,73.0,17,82.76,2,33.95,6,3,6,9,13,0.0
156,7,124,71,72.19,20,84.65,3,29.25,11,6,3,16,9,0.0
157,7,341,19,76.49,11,89.89,10,73.59,5,9,7,1,2,0.0
158,7,974,37,73.62,12,85.02,2,18.6,4,7,5,9,15,0.0
159,7,439,87,80.94,18,82.78,4,39.38,4,10,7,8,13,0.0
160,7,818,64,83.27,20,89.56,4,48.28,3,8,9,9,11,0.0
161,7,688,67,70.86,18,81.95,0,11.77,9,2,1,16,12,0.0
162,7,807,57,70.24,19,81.69,1,35.01,13,2,3,10,18,0.0
163,7,895,68,72.96,17,89.01,3,29.3,2,6,8,9,11,0.0
164,7,678,88,83.46,24,80.67,3,23.91,9,7,4,7,9,0.0
165,7,32,69,73.98,18,84.6,4,35.45,3,10,5,13,10,0.0
166,7,881,66,82.81,18,74.24,1,14.75,12,9,1,12,14,0.0
167,7,600,63,77.55,13,78.72,1,29.03,3,2,9,7,7,0.0
168,7,285,36,76.21,14,73.48,11,50.47,6,7,13,1,4,0.0
169,8,414,19,101.68,6,93.57,0,0.0,16,0,1,7,4,0.0
170,8,617,31,103.58,13,93.52,0,0.0,6,3,2,13,8,0.0
171,8,829,17,104.93,9,79.19,0,0.0,5,2,2,7,4,0.0
172,8,666,50,97.55,12,97.83,2,30.43,12,7,2,12,14,0.0
173,8,445,105,91.04,33,101.6,2,45.49,6,9,8,16,14,0.0
174,8,101,55,104.9,20,105.89,2,56.77,8,15,8,14,9,0.0
175,8,802,62,96.76,16,105.54,4,21.17,6,5,5,8,13,0.0
176,8,757,107,101.52,29,108.78,2,53.95,4,11,13,9,7,50.0
177,8,152,110,98.29,31,96.52,1,52.91,7,12,5,11,7,0.0
178,8,270,69,91.81,17,99.71,5,25.69,9,6,6,9,11,0.0
179,8,393,58,97.86,26,94.85,5,31.4,7,14,12,12,11,0.0
180,8,124,63,93.6,20,87.79,2,22.11,16,2,6,18,13,0.0
181,8,341,39,95.28,23,93.12,13,47.07,4,5,9,4,3,7.69
182,8,974,72,91.18,24,86.27,2,12.98,12,6,2,16,9,0.0
183,8,439,71,103.29,31,104.57,2,49.61,3,12,5,16,6,0.0
184,8,818,62,106.72,22,107.29,1,59.68,7,8,8,16,12,0.0
185,8,688,58,90.85,19,86.79,2,28.94,8,9,5,17,14,50.0
186,8,807,60,95.8,26,97.54,1,32.29,8,7,3,22,18,0.0
187,8,895,66,90.99,17,107.15,3,49.51,4,11,11,13,8,33.33
188,8,678,95,99.49,28,107.3,1,23.53,6,12,9,12,16,0.0
189,8,32,66,95.81,17,105.54,5,26.59,11,13,13,16,5,0.0
190,8,881,42,97.89,17,97.13,3,17.63,9,5,5,14,15,0.0
191,8,600,68,92.12,18,100.18,4,26.09,8,3,6,15,12,0.0
192,8,285,29,80.98,19,104.4,15,76.36,6,7,8,1,0,0.0
193,9,414,14,104.83,12,80.39,0,0.0,7,1,1,6,7,0.0
194,9,617,30,102.65,11,80.92,0,0.0,14,0,2,6,2,0.0
195,9,829,31,106.17,13,79.1,0,0.0,14,2,1,6,4,0.0
196,9,666,56,100.42,19,102.61,1,16.46,22,11,3,13,18,0.0
197,9,445,57,104.73,26,98.26,2,46.05,3,11,6,15,13,0.0
198,9,101,79,94.24,29,94.81,2,49.56,6,8,12,16,13,0.0
199,9,802,110,100.16,19,94.73,3,53.6,6,3,7,12,12,0.0
200,9,757,73,98.18,26,107.33,4,20.94,11,5,7,8,14,0.0
201,9,152,62,101.67,28,108.18,3,53.01,5,13,11,9,8,0.0
202,9,270,73,95.69,19,94.5,3,29.29,4,3,7,9,11,0.0
203,9,393,96,94.87,22,105.71,2,21.57,5,13,9,15,12,0.0
204,9,124,37,91.69,26,99.27,0,21.23,19,5,1,18,20,0.0
205,9,341,28,89.77,25,92.1,15,63.86,5,14,20,4,0,0.0
206,9,974,48,99.05,24,98.64,0,14.73,13,8,1,13,14,0.0
207,9,439,99,105.15,18,97.22,1,51.31,9,11,9,8,13,0.0
208,9,818,95,88.03,20,95.19,1,36.99,3,6,12,8,11,0.0
209,9,688,57,99.03,19,94.91,3,17.3,19,9,4,18,19,0.0
210,9,807,53,82.91,23,89.62,2,18.94,16,5,1,16,8,0.0
211,9,895,104,96.14,31,95.91,2,50.38,9,8,9,9,12,0.0
212,9,678,81,95.87,17,100.62,2,25.25,9,11,12,15,13,50.0
213,9,32,99,98.4,20,97.99,5,53.08,4,6,11,9,8,20.0
214,9,881,35,91.3,19,96.85,1,15.5,8,8,1,20,12,0.0
215,9,600,101,107.78,28,108.51,5,47.17,11,13,6,9,7,0.0
216,9,285,38,97.0,24,107.57,10,65.31,3,7,16,5,2,0.0
217,10,414,30,99.18,15,80.85,0,0.0,5,5,1,13,5,0.0
218,10,617,24,99.18,7,86.81,0,0.0,15,5,0,11,8,0.0
219,10,829,17,106.65,5,87.32,0,0.0,15,2,0,13,2,0.0
220,10,666,72,92.27,20,96.95,1,11.65,6,7,2,18,17,0.0
221,10,445,62,106.68,33,105.16,1,22.58,9,16,13,16,15,0.0
222,10,101,79,97.8,33,97.63,2,55.81,11,3,5,14,14,0.0
223,10,802,105,99.86,24,98.69,4,30.99,3,3,7,11,12,25.0
224,10,757,88,103.88,25,100.91,2,46.62,11,4,8,14,8,0.0
225,10,152,68,93.36,33,94.0,2,37.75,8,3,7,16,14,0.0
226,10,270,110,102.51,28,104.77,1,49.87,8,16,8,15,8,0.0
227,10,393,72,98.33,20,102.22,5,42.74,5,7,8,15,7,0.0
228,10,124,66,85.58,16,87.73,1,29.58,6,3,2,11,15,0.0
229,10,341,26,90.87,25,105.57,10,53.22,3,20,7,1,5,0.0
230,10,974,83,83.63,26,85.8,1,23.53,16,3,6,19,15,0.0
231,10,439,72,90.83,23,94.89,3,27.67,4,11,12,12,13,0.0
232,10,818,100,105.37,16,99.31,4,36.71,9,5,12,8,9,0.0
233,10,688,66,89.18,16,96.34,3,29.31,13,9,4,13,19,0.0
234,10,807,41,99.87,11,104.13,1,29.3,19,11,4,17,15,0.0
235,10,895,82,104.12,30,99.44,5,20.41,8,4,7,8,15,20.0
236,10,678,56,106.19,17,109.72,2,37.42,11,16,7,13,14,0.0
237,10,32,66,102.75,31,108.68,1,28.34,9,6,8,16,9,0.0
238,10,881,82,91.4,13,89.58,1,33.26,7,3,1,16,8,0.0
239,10,600,97,90.26,19,106.98,1,50.11,8,12,6,16,8,100.0
240,10,285,11,97.78,17,106.84,10,42.81,8,8,19,4,4,0.0
241,11,414,11,80.71,5,68.1,0,0.0,8,3,0,8,6,0.0
242,11,617,9,78.85,5,80.72,0,0.0,11,2,0,9,2,0.0
243,11,829,10,83.23,8,69.71,0,0.0,12,2,0,11,6,0.0
244,11,666,36,80.86,17,84.97,3,27.92,14,5,1,16,7,0.0
245,11,445,56,72.2,25,77.12,1,43.46,4,5,9,9,6,0.0
246,11,101,86,88.06,25,80.79,2,43.06,5,3,9,9,9,0.0
247,11,802,67,84.3,21,76.82,5,22.3,4,12,7,10,13,0.0
248,11,757,52,72.22,21,77.65,1,32.98,8,3,8,7,11,100.0
249,11,152,63,82.26,23,89.91,3,32.75,6,8,9,9,5,0.0
250,11,270,65,75.61,27,78.4,4,43.57,7,7,10,8,8,0.0
251,11,393,76,76.11,22,86.28,3,45.19,2,2,9,13,13,0.0
252,11,124,70,71.35,14,80.27,3,24.74,14,9,2,15,12,0.0
253,11,341,22,75.77,16,84.26,8,77.9,6,4,14,3,4,25.0
254,11,974,34,84.02,20,68.69,2,32.71,13,2,4,18,15,0.0
255,11,439,47,72.19,25,83.23,4,37.26,9,6,9,12,5,0.0
256,11,818,56,85.1,14,79.6,1,29.32,5,13,9,11,7,0.0
257,11,688,33,79.59,12,79.25,0,33.22,15,9,3,14,17,0.0
258,11,807,46,77.46,18,72.29,1,29.12,15,2,5,9,14,0.0
259,11,895,83,79.43,17,82.04,4,40.84,7,4,9,9,9,0.0
260,11,678,72,73.22,22,88.9,3,23.79,4,5,9,13,8,0.0
261,11,32,52,79.9,21,78.52,5,44.2,4,9,8,7,10,0.0
262,11,881,45,75.68,11,74.04,0,18.33,5,5,1,15,17,0.0
263,11,600,54,79.12,18,77.31,4,27.09,8,10,5,8,5,0.0
264,11,285,21,80.45,11,83.14,8,64.69,5,4,8,0,2,0.0
265,12,414,12,98.87,6,80.52,0,0.0,15,3,2,14,2,0.0
266,12,617,15,100.0,6,94.43,0,0.0,5,5,1,14,7,0.0
267,12,829,27,93.64,11,97.47,0,0.0,9,5,1,14,5,0.0
268,12,666,42,91.67,11,85.69,2,35.74,14,2,3,19,22,0.0
269,12,445,57,94.35,24,107.12,2,29.02,9,7,13,16,11,0.0
270,12,101,79,106.24,30,101.0,3,49.91,5,15,11,8,16,0.0
271,12,802,101,100.23,22,96.85,3,49.14,5,11,6,12,9,0.0
272,12,757,94,96.13,33,102.61,3,58.98,8,16,6,14,15,0.0
273,12,152,72,102.35,26,107.81,4,40.2,11,9,9,9,13,25.0
274,12,270,55,98.68,24,106.99,1,36.35,5,6,12,13,15,0.0
275,12,393,69,88.74,33,96.53,4,35.22,7,6,12,8,12,0.0
276,12,124,37,95.26,26,89.03,3,29.75,20,9,2,16,16,0.0
277,12,341,22,77.24,17,88.68,14,49.73,5,19,16,4,3,7.14
278,12,974,86,101.78,15,97.13,1,39.39,9,8,4,19,14,0.0
279,12,439,105,91.98,26,98.92,2,57.17,8,14,8,13,14,0.0
280,12,818,77,88.74,29,100.5,5,41.69,9,5,9,15,8,0.0
281,12,688,39,96.24,16,99.72,2,10.76,19,8,4,17,12,0.0
282,12,807,49,86.01,22,84.8,1,31.94,8,11,2,22,13,100.0
283,12,895,80,97.17,18,101.77,4,51.31,11,15,6,15,8,25.0
284,12,678,81,100.03,20,93.93,4,39.89,11,8,9,8,5,0.0
285,12,32,77,107.18,18,105.2,2,38.08,11,6,11,8,5,0.0
286,12,881,73,89.86,17,85.48,2,37.88,20,9,6,18,8,0.0
287,12,600,101,93.48,16,101.19,3,51.27,3,16,5,9,11,0.0
288,12,285,20,95.71,11,101.19,13,55.89,4,20,11,4,1,0.0
289,13,414,26,90.81,5,82.08,0,0.0,14,5,2,8,7,0.0
290,13,617,21,92.4,14,76.28,0,0.0,8,0,1,9,3,0.0
291,13,829,18,87.1,12,86.7,0,0.0,5,0,2,10,4,0.0
292,13,666,58,88.09,17,85.05,1,18.25,18,10,3,19,9,0.0
293,13,445,84,94.03,23,90.33,4,39.31,6,12,12,11,7,0.0
294,13,101,65,82.59,24,88.88,4,30.45,6,8,12,12,6,0.0
295,13,802,90,85.23,20,87.36,4,25.91,6,14,5,15,7,0.0
296,13,757,73,87.7,29,95.04,3,39.75,3,11,6,14,14,33.33
297,13,152,90,94.8,26,89.63,3,41.79,10,4,11,9,14,33.33
298,13,270,84,82.86,23,91.08,4,48.11,7,3,8,10,15,0.0
299,13,393,57,96.97,20,91.02,1,26.87,8,3,6,15,12,0.0
300,13,124,77,84.09,21,79.31,2,26.74,5,10,3,17,10,0.0
301,13,341,29,82.37,24,96.38,14,58.49,6,13,20,1,4,0.0
302,13,974,36,75.43,11,87.35,0,14.87,6,6,4,19,19,0.0
303,13,439,56,88.91,25,99.39,3,39.39,5,10,5,11,5,0.0
304,13,818,54,96.11,24,92.5,2,30.21,6,8,9,12,5,0.0
305,13,688,71,88.48,24,94.36,1,18.85,15,6,1,10,12,0.0
306,13,807,64,92.82,19,88.18,1,20.02,14,4,2,14,8,0.0
307,13,895,89,96.38,20,87.12,4,42.51,3,14,12,15,11,0.0
308,13,678,65,91.09,26,95.54,5,35.4,6,15,10,10,15,0.0
309,13,32,90,88.77,17,89.54,5,48.17,7,7,12,9,12,0.0
310,13,881,79,82.63,21,83.24,3,21.27,13,8,1,19,15,0.0
311,13,600,88,88.82,27,85.97,1,32.58,9,4,6,9,10,0.0
312,13,285,32,75.07,11,94.57,13,65.05,3,20,13,2,0,0.0
313,14,414,12,99.09,13,86.94,0,0.0,14,3,0,9,8,0.0
314,14,617,23,95.57,5,71.67,0,0.0,14,5,1,14,5,0.0
315,14,829,17,94.3,10,71.11,0,0.0,12,5,2,9,5,0.0
316,14,666,34,83.8,23,78.15,2,23.39,9,6,6,15,18,0.0
317,14,445,88,94.96,20,88.8,2,20.84,5,6,9,14,8,0.0
318,14,101,66,84.95,27,90.03,3,48.4,4,5,7,11,12,33.33
319,14,802,51,97.68,17,95.67,5,53.64,3,10,12,10,9,0.0
320,14,757,71,89.91,29,97.7,1,20.31,4,11,5,10,6,0.0
321,14,152,78,82.67,23,86.16,4,50.3,4,5,6,11,10,0.0
322,14,270,67,87.71,22,94.8,5,58.7,6,9,10,9,9,0.0
323,14,393,97,80.5,16,85.32,5,51.24,4,7,10,14,11,0.0
324,14,124,39,76.22,22,90.55,1,28.5,12,6,4,14,11,0.0
325,14,341,13,70.74,14,92.76,9,67.3,4,14,14,2,2,0.0
326,14,974,77,88.83,12,82.11,2,12.39,13,2,2,14,9,0.0
327,14,439,72,91.28,22,91.74,3,45.74,3,15,8,15,14,0.0
328,14,818,60,97.11,28,90.86,4,50.64,6,3,8,10,14,0.0
329,14,688,51,75.39,21,88.8,1,30.76,13,2,2,10,12,100.0
330,14,807,53,82.61,12,92.9,3,36.94,10,10,3,10,16,0.0
331,14,895,53,93.99,25,95.96,1,40.44,10,9,11,15,8,0.0
332,14,678,68,91.59,23,99.03,5,41.82,3,4,10,15,10,0.0
333,14,32,63,93.44,19,93.27,4,58.28,10,9,10,9,6,0.0
334,14,881,38,76.43,19,82.05,2,23.38,9,5,4,12,20,0.0
335,14,600,98,94.05,27,95.09,3,53.61,7,13,7,11,10,0.0
336,14,285,24,74.21,12,91.55,5,59.17,5,19,8,3,5,0.0
337,15,414,16,88.46,13,88.56,0,0.0,9,2,2,9,6,0.0
338,15,617,19,90.77,7,80.1,0,0.0,13,3,2,11,2,0.0
339,15,829,22,94.89,9,71.05,0,0.0,12,5,2,5,3,0.0
340,15,666,56,81.03,25,93.56,1,15.97,20,7,1,18,16,0.0
341,15,445,68,95.69,19,99.23,5,38.57,4,11,12,12,11,0.0
342,15,101,56,94.12,27,88.86,5,47.31,5,8,5,9,14,0.0
343,15,802,88,88.18,15,93.06,1,40.7,6,8,8,13,11,0.0
344,15,757,81,83.35,28,97.07,2,21.2,6,3,9,14,12,0.0
345,15,152,71,81.21,22,96.91,1,23.55,10,15,9,11,11,0.0
346,15,270,98,82.2,28,92.34,5,30.93,9,10,9,9,8,0.0
347,15,393,85,92.38,17,97.71,1,24.07,7,9,5,12,5,0.0
348,15,124,43,88.54,20,94.8,1,23.15,20,9,6,18,20,0.0
349,15,341,24,76.86,19,86.09,8,44.13,10,15,7,4,4,0.0
350,15,974,41,92.36,22,82.86,0,21.07,17,9,5,12,18,0.0
351,15,439,87,80.83,20,94.37,2,53.31,9,10,11,10,13,50.0
352,15,818,77,94.91,15,85.37,4,28.05,5,5,7,14,6,0.0
353,15,688,51,94.07,12,91.3,0,26.12,15,6,1,19,13,0.0
354,15,807,53,94.68,21,80.54,0,21.88,8,5,4,17,10,0.0
355,15,895,62,87.21,25,85.77,5,24.93,6,8,11,9,15,0.0
356,15,678,79,90.43,15,94.69,4,57.21,5,10,10,12,6,0.0
357,15,32,87,97.39,30,91.56,5,42.78,3,11,11,14,15,0.0
358,15,881,79,92.37,22,86.18,3,22.55,12,8,2,18,13,0.0
359,15,600,58,94.34,15,94.84,4,40.84,10,4,8,14,12,0.0
360,15,285,14,83.9,24,91.06,15,76.82,7,16,11,4,4,0.0
361,16,414,25,98.01,7,87.24,0,0.0,12,5,0,13,6,0.0
