ID_Objectif,ID_Joueur,Saison,Objectif_Type,Valeur_Cible,Unite
37,943,2022-2023,Vitesse_Max,32.4,km/h
38,943,2022-2023,Conversion_Tirs_Buts,33.07,%
39,996,2022-2023,Distance_Parcourue_Match,10.19,km
40,996,2022-2023,Précision_Passes,89.31,%
41,996,2022-2023,Tirs_Cadrés,42.51,%
42,38,2022-2023,Distance_Parcourue_Match,10.19,km
43,38,2022-2023,Précision_Passes,89.31,%
44,38,2022-2023,Tirs_Cadrés,42.51,%
45,206,2022-2023,Distance_Parcourue_Match,10.19,km
46,206,2022-2023,Précision_Passes,89.31,%
47,206,2022-2023,Tirs_Cadrés,42.51,%
48,573,2022-2023,Précision_Passes,71.42,%
49,573,2022-2023,Minutes_Totales,1527.0,minutes
50,100,2022-2023,Distance_Parcourue_Match,8.75,km
51,100,2022-2023,Précision_Passes,80.68,%
52,100,2022-2023,Tacles_Réussis,61.98,%
53,831,2022-2023,Distance_Parcourue_Match,10.19,km
54,831,2022-2023,Précision_Passes,89.31,%
55,831,2022-2023,Tirs_Cadrés,42.51,%
56,97,2022-2023,Précision_Passes,71.42,%
57,97,2022-2023,Minutes_Totales,1527.0,minutes
58,664,2022-2023,Distance_Parcourue_Match,10.19,km
59,664,2022-2023,Précision_Passes,89.31,%
60,664,2022-2023,Tirs_Cadrés,42.51,%
61,66,2022-2023,Distance_Parcourue_Match,9.83,km
62,66,2022-2023,Vitesse_Max,32.4,km/h
63,66,2022-2023,Conversion_Tirs_Buts,33.07,%
64,77,2022-2023,Distance_Parcourue_Match,8.75,km
65,77,2022-2023,Précision_Passes,80.68,%
66,77,2022-2023,Tacles_Réussis,61.98,%
67,658,2022-2023,Précision_Passes,71.42,%
68,658,2022-2023,Minutes_Totales,1527.0,minutes
69,89,2022-2023,Distance_Parcourue_Match,9.83,km
70,89,2022-2023,Vitesse_Max,32.4,km/h
71,89,2022-2023,Conversion_Tirs_Buts,33.07,%
72,897,2022-2023,Distance_Parcourue_Match,9.83,km
73,897,2022-2023,Vitesse_Max,32.4,km/h
74,897,2022-2023,Conversion_Tirs_Buts,33.07,%
75,726,2022-2023,Distance_Parcourue_Match,10.19,km
76,726,2022-2023,Précision_Passes,89.31,%
77,726,2022-2023,Tirs_Cadrés,42.51,%
78,849,2022-2023,Distance_Parcourue_Match,10.19,km
79,849,2022-2023,Précision_Passes,89.31,%
80,849,2022-2023,Tirs_Cadrés,42.51,%
81,30,2022-2023,Distance_Parcourue_Match,9.83,km
82,30,2022-2023,Vitesse_Max,32.4,km/h
83,30,2022-2023,Conversion_Tirs_Buts,33.07,%
84,809,2022-2023,Distance_Parcourue_Match,9.83,km
85,809,2022-2023,Vitesse_Max,32.4,km/h
86,809,2022-2023,Conversion_Tirs_Buts,33.07,%
87,489,2022-2023,Précision_Passes,71.42,%
88,489,2022-2023,Minutes_Totales,1527.0,minutes
89,886,2022-2023,Précision_Passes,71.42,%
90,886,2022-2023,Minutes_Totales,1527.0,minutes
91,491,2022-2023,Distance_Parcourue_Match,10.19,km
92,491,2022-2023,Précision_Passes,89.31,%
93,491,2022-2023,Tirs_Cadrés,42.51,%
94,697,2022-2023,Précision_Passes,71.42,%
95,697,2022-2023,Minutes_Totales,1527.0,minutes
96,567,2022-2023,Précision_Passes,71.42,%
97,567,2022-2023,Minutes_Totales,1527.0,minutes
98,786,2022-2023,Précision_Passes,71.42,%
99,786,2022-2023,Minutes_Totales,1527.0,minutes
100,428,2022-2023,Distance_Parcourue_Match,9.83,km
101,428,2022-2023,Vitesse_Max,32.4,km/h
102,428,2022-2023,Conversion_Tirs_Buts,33.07,%
103,188,2022-2023,Distance_Parcourue_Match,9.83,km
104,188,2022-2023,Vitesse_Max,32.4,km/h
105,188,2022-2023,Conversion_Tirs_Buts,33.07,%
106,286,2022-2023,Distance_Parcourue_Match,8.75,km
107,286,2022-2023,Précision_Passes,80.68,%
108,286,2022-2023,Tacles_Réussis,61.98,%
109,628,2022-2023,Distance_Parcourue_Match,10.19,km
110,628,2022-2023,Précision_Passes,89.31,%
111,628,2022-2023,Tirs_Cadrés,42.51,%
112,774,2022-2023,Distance_Parcourue_Match,9.83,km
113,774,2022-2023,Vitesse_Max,32.4,km/h
114,774,2022-2023,Conversion_Tirs_Buts,33.07,%
115,843,2022-2023,Précision_Passes,71.42,%
116,843,2022-2023,Minutes_Totales,1527.0,minutes
117,313,2022-2023,Distance_Parcourue_Match,8.75,km
118,313,2022-2023,Précision_Passes,80.68,%
119,313,2022-2023,Tacles_Réussis,61.98,%
120,213,2022-2023,Précision_Passes,71.42,%
121,213,2022-2023,Minutes_Totales,1527.0,minutes
122,311,2022-2023,Distance_Parcourue_Match,9.83,km
123,311,2022-2023,Vitesse_Max,32.4,km/h
124,311,2022-2023,Conversion_Tirs_Buts,33.07,%
125,968,2022-2023,Distance_Parcourue_Match,8.75,km
126,968,2022-2023,Précision_Passes,80.68,%
127,968,2022-2023,Tacles_Réussis,61.98,%
128,249,2022-2023,Distance_Parcourue_Match,8.75,km
129,249,2022-2023,Précision_Passes,80.68,%
130,249,2022-2023,Tacles_Réussis,61.98,%
131,588,2022-2023,Distance_Parcourue_Match,9.83,km
132,588,2022-2023,Vitesse_Max,32.4,km/h
133,588,2022-2023,Conversion_Tirs_Buts,33.07,%
134,168,2022-2023,Précision_Passes,71.42,%
135,168,2022-2023,Minutes_Totales,1527.0,minutes
136,610,2022-2023,Précision_Passes,71.42,%
137,610,2022-2023,Minutes_Totales,1527.0,minutes
138,145,2022-2023,Distance_Parcourue_Match,9.83,km
139,145,2022-2023,Vitesse_Max,32.4,km/h
140,145,2022-2023,Conversion_Tirs_Buts,33.07,%
141,204,2022-2023,Distance_Parcourue_Match,10.19,km
142,204,2022-2023,Précision_Passes,89.31,%
143,204,2022-2023,Tirs_Cadrés,42.51,%
144,654,2022-2023,Distance_Parcourue_Match,9.83,km
145,654,2022-2023,Vitesse_Max,32.4,km/h
146,654,2022-2023,Conversion_Tirs_Buts,33.07,%
147,893,2022-2023,Distance_Parcourue_Match,10.19,km
148,893,2022-2023,Précision_Passes,89.31,%
149,893,2022-2023,Tirs_Cadrés,42.51,%
150,236,2022-2023,Distance_Parcourue_Match,10.19,km
151,236,2022-2023,Précision_Passes,89.31,%
152,236,2022-2023,Tirs_Cadrés,42.51,%
153,917,2022-2023,Distance_Parcourue_Match,8.75,km
154,917,2022-2023,Précision_Passes,80.68,%
155,917,2022-2023,Tacles_Réussis,61.98,%
156,617,2022-2023,Précision_Passes,71.42,%
157,617,2022-2023,Minutes_Totales,1527.0,minutes
158,509,2022-2023,Distance_Parcourue_Match,10.19,km
159,509,2022-2023,Précision_Passes,89.31,%
160,509,2022-2023,Tirs_Cadrés,42.51,%
161,354,2022-2023,Distance_Parcourue_Match,9.83,km
162,354,2022-2023,Vitesse_Max,32.4,km/h
163,354,2022-2023,Conversion_Tirs_Buts,33.07,%
164,79,2022-2023,Distance_Parcourue_Match,8.75,km
165,79,2022-2023,Précision_Passes,80.68,%
166,79,2022-2023,Tacles_Réussis,61.98,%
167,582,2022-2023,Distance_Parcourue_Match,8.75,km
168,582,2022-2023,Précision_Passes,80.68,%
169,582,2022-2023,Tacles_Réussis,61.98,%
170,316,2022-2023,Distance_Parcourue_Match,10.19,km
171,316,2022-2023,Précision_Passes,89.31,%
172,316,2022-2023,Tirs_Cadrés,42.51,%
173,205,2022-2023,Distance_Parcourue_Match,10.19,km
174,205,2022-2023,Précision_Passes,89.31,%
175,205,2022-2023,Tirs_Cadrés,42.51,%
176,565,2022-2023,Distance_Parcourue_Match,9.83,km
177,565,2022-2023,Vitesse_Max,32.4,km/h
178,565,2022-2023,Conversion_Tirs_Buts,33.07,%
179,723,2022-2023,Distance_Parcourue_Match,8.75,km
180,723,2022-2023,Précision_Passes,80.68,%
181,723,2022-2023,Tacles_Réussis,61.98,%
182,301,2022-2023,Distance_Parcourue_Match,8.75,km
183,301,2022-2023,Précision_Passes,80.68,%
184,301,2022-2023,Tacles_Réussis,61.98,%
185,689,2022-2023,Distance_Parcourue_Match,8.75,km
186,689,2022-2023,Précision_Passes,80.68,%
187,689,2022-2023,Tacles_Réussis,61.98,%
188,767,2022-2023,Distance_Parcourue_Match,8.75,km
189,767,2022-2023,Précision_Passes,80.68,%
190,767,2022-2023,Tacles_Réussis,61.98,%
191,409,2022-2023,Distance_Parcourue_Match,9.83,km
192,409,2022-2023,Vitesse_Max,32.4,km/h
193,409,2022-2023,Conversion_Tirs_Buts,33.07,%
194,829,2022-2023,Précision_Passes,71.42,%
195,829,2022-2023,Minutes_Totales,1527.0,minutes
196,449,2022-2023,Distance_Parcourue_Match,9.83,km
197,449,2022-2023,Vitesse_Max,32.4,km/h
198,449,2022-2023,Conversion_Tirs_Buts,33.07,%
199,219,2022-2023,Distance_Parcourue_Match,8.75,km
200,219,2022-2023,Précision_Passes,80.68,%
201,219,2022-2023,Tacles_Réussis,61.98,%
202,260,2022-2023,Distance_Parcourue_Match,9.83,km
203,260,2022-2023,Vitesse_Max,32.4,km/h
204,260,2022-2023,Conversion_Tirs_Buts,33.07,%
205,982,2022-2023,Distance_Parcourue_Match,8.75,km
206,982,2022-2023,Précision_Passes,80.68,%
207,982,2022-2023,Tacles_Réussis,61.98,%
208,432,2022-2023,Distance_Parcourue_Match,8.75,km
209,432,2022-2023,Précision_Passes,80.68,%
210,432,2022-2023,Tacles_Réussis,61.98,%
211,42,2022-2023,Distance_Parcourue_Match,10.19,km
212,42,2022-2023,Précision_Passes,89.31,%
213,42,2022-2023,Tirs_Cadrés,42.51,%
214,587,2022-2023,Distance_Parcourue_Match,10.19,km
215,587,2022-2023,Précision_Passes,89.31,%
216,587,2022-2023,Tirs_Cadrés,42.51,%
217,297,2022-2023,Distance_Parcourue_Match,8.75,km
218,297,2022-2023,Précision_Passes,80.68,%
219,297,2022-2023,Tacles_Réussis,61.98,%
220,669,2022-2023,Distance_Parcourue_Match,10.19,km
221,669,2022-2023,Précision_Passes,89.31,%
222,669,2022-2023,Tirs_Cadrés,42.51,%
223,578,2022-2023,Distance_Parcourue_Match,10.19,km
224,578,2022-2023,Précision_Passes,89.31,%
225,578,2022-2023,Tirs_Cadrés,42.51,%
226,810,2022-2023,Distance_Parcourue_Match,10.19,km
227,810,2022-2023,Précision_Passes,89.31,%
228,810,2022-2023,Tirs_Cadrés,42.51,%
229,550,2022-2023,Distance_Parcourue_Match,8.75,km
230,550,2022-2023,Précision_Passes,80.68,%
231,550,2022-2023,Tacles_Réussis,61.98,%
232,275,2022-2023,Distance_Parcourue_Match,10.19,km
233,275,2022-2023,Précision_Passes,89.31,%
234,275,2022-2023,Tirs_Cadrés,42.51,%
235,104,2022-2023,Distance_Parcourue_Match,10.19,km
236,104,2022-2023,Précision_Passes,89.31,%
237,104,2022-2023,Tirs_Cadrés,42.51,%
238,472,2022-2023,Distance_Parcourue_Match,9.83,km
239,472,2022-2023,Vitesse_Max,32.4,km/h
240,472,2022-2023,Conversion_Tirs_Buts,33.07,%
241,862,2022-2023,Distance_Parcourue_Match,9.83,km
242,862,2022-2023,Vitesse_Max,32.4,km/h
243,862,2022-2023,Conversion_Tirs_Buts,33.07,%
244,668,2022-2023,Distance_Parcourue_Match,10.19,km
245,668,2022-2023,Précision_Passes,89.31,%
246,668,2022-2023,Tirs_Cadrés,42.51,%
247,162,2022-2023,Distance_Parcourue_Match,10.19,km
248,162,2022-2023,Précision_Passes,89.31,%
249,162,2022-2023,Tirs_Cadrés,42.51,%
250,621,2022-2023,Distance_Parcourue_Match,8.75,km
251,621,2022-2023,Précision_Passes,80.68,%
252,621,2022-2023,Tacles_Réussis,61.98,%
253,176,2022-2023,Distance_Parcourue_Match,8.75,km
254,176,2022-2023,Précision_Passes,80.68,%
255,176,2022-2023,Tacles_Réussis,61.98,%
256,115,2022-2023,Distance_Parcourue_Match,8.75,km
257,115,2022-2023,Précision_Passes,80.68,%
258,115,2022-2023,Tacles_Réussis,61.98,%
259,98,2022-2023,Distance_Parcourue_Match,10.19,km
260,98,2022-2023,Précision_Passes,89.31,%
261,98,2022-2023,Tirs_Cadrés,42.51,%
262,879,2022-2023,Distance_Parcourue_Match,9.83,km
263,879,2022-2023,Vitesse_Max,32.4,km/h
264,879,2022-2023,Conversion_Tirs_Buts,33.07,%
265,666,2022-2023,Distance_Parcourue_Match,8.75,km
266,666,2022-2023,Précision_Passes,80.68,%
267,666,2022-2023,Tacles_Réussis,61.98,%
268,445,2022-2023,Distance_Parcourue_Match,10.19,km
269,445,2022-2023,Précision_Passes,89.31,%
270,445,2022-2023,Tirs_Cadrés,42.51,%
271,164,2022-2023,Distance_Parcourue_Match,10.19,km
272,164,2022-2023,Précision_Passes,89.31,%
273,164,2022-2023,Tirs_Cadrés,42.51,%
274,242,2022-2023,Distance_Parcourue_Match,10.19,km
275,242,2022-2023,Précision_Passes,89.31,%
276,242,2022-2023,Tirs_Cadrés,42.51,%
277,527,2022-2023,Distance_Parcourue_Match,9.83,km
278,527,2022-2023,Vitesse_Max,32.4,km/h
279,527,2022-2023,Conversion_Tirs_Buts,33.07,%
280,906,2022-2023,Distance_Parcourue_Match,10.19,km
281,906,2022-2023,Précision_Passes,89.31,%
282,906,2022-2023,Tirs_Cadrés,42.51,%
283,469,2022-2023,Distance_Parcourue_Match,10.19,km
284,469,2022-2023,Précision_Passes,89.31,%
285,469,2022-2023,Tirs_Cadrés,42.51,%
286,646,2022-2023,Distance_Parcourue_Match,10.19,km
287,646,2022-2023,Précision_Passes,89.31,%
288,646,2022-2023,Tirs_Cadrés,42.51,%
289,261,2022-2023,Distance_Parcourue_Match,10.19,km
290,261,2022-2023,Précision_Passes,89.31,%
291,261,2022-2023,Tirs_Cadrés,42.51,%
292,47,2022-2023,Distance_Parcourue_Match,8.75,km
293,47,2022-2023,Précision_Passes,80.68,%
294,47,2022-2023,Tacles_Réussis,61.98,%
295,753,2022-2023,Distance_Parcourue_Match,8.75,km
296,753,2022-2023,Précision_Passes,80.68,%
297,753,2022-2023,Tacles_Réussis,61.98,%
298,793,2022-2023,Distance_Parcourue_Match,9.83,km
299,793,2022-2023,Vitesse_Max,32.4,km/h
300,793,2022-2023,Conversion_Tirs_Buts,33.07,%
301,826,2022-2023,Distance_Parcourue_Match,9.83,km
302,826,2022-2023,Vitesse_Max,32.4,km/h
303,826,2022-2023,Conversion_Tirs_Buts,33.07,%
304,229,2022-2023,Distance_Parcourue_Match,9.83,km
305,229,2022-2023,Vitesse_Max,32.4,km/h
306,229,2022-2023,Conversion_Tirs_Buts,33.07,%
307,811,2022-2023,Distance_Parcourue_Match,8.75,km
308,811,2022-2023,Précision_Passes,80.68,%
309,811,2022-2023,Tacles_Réussis,61.98,%
310,269,2022-2023,Distance_Parcourue_Match,9.83,km
311,269,2022-2023,Vitesse_Max,32.4,km/h
312,269,2022-2023,Conversion_Tirs_Buts,33.07,%
313,101,2022-2023,Distance_Parcourue_Match,10.19,km
314,101,2022-2023,Précision_Passes,89.31,%
315,101,2022-2023,Tirs_Cadrés,42.51,%
316,359,2022-2023,Distance_Parcourue_Match,9.83,km
317,359,2022-2023,Vitesse_Max,32.4,km/h
318,359,2022-2023,Conversion_Tirs_Buts,33.07,%
319,11,2022-2023,Distance_Parcourue_Match,8.75,km
320,11,2022-2023,Précision_Passes,80.68,%
321,11,2022-2023,Tacles_Réussis,61.98,%
322,461,2022-2023,Distance_Parcourue_Match,8.75,km
323,461,2022-2023,Précision_Passes,80.68,%
324,461,2022-2023,Tacles_Réussis,61.98,%
325,802,2022-2023,Distance_Parcourue_Match,10.19,km
326,802,2022-2023,Précision_Passes,89.31,%
327,802,2022-2023,Tirs_Cadrés,42.51,%
328,871,2022-2023,Distance_Parcourue_Match,8.75,km
329,871,2022-2023,Précision_Passes,80.68,%
330,871,2022-2023,Tacles_Réussis,61.98,%
331,561,2022-2023,Distance_Parcourue_Match,10.19,km
332,561,2022-2023,Précision_Passes,89.31,%
333,561,2022-2023,Tirs_Cadrés,42.51,%
334,931,2022-2023,Distance_Parcourue_Match,9.83,km
335,931,2022-2023,Vitesse_Max,32.4,km/h
336,931,2022-2023,Conversion_Tirs_Buts,33.07,%
337,376,2022-2023,Distance_Parcourue_Match,10.19,km
338,376,2022-2023,Précision_Passes,89.31,%
339,376,2022-2023,Tirs_Cadrés,42.51,%
340,529,2022-2023,Distance_Parcourue_Match,8.75,km
341,529,2022-2023,Précision_Passes,80.68,%
342,529,2022-2023,Tacles_Réussis,61.98,%
343,680,2022-2023,Distance_Parcourue_Match,8.75,km
344,680,2022-2023,Précision_Passes,80.68,%
345,680,2022-2023,Tacles_Réussis,61.98,%
346,833,2022-2023,Distance_Parcourue_Match,9.83,km
347,833,2022-2023,Vitesse_Max,32.4,km/h
348,833,2022-2023,Conversion_Tirs_Buts,33.07,%
349,657,2022-2023,Distance_Parcourue_Match,8.75,km
350,657,2022-2023,Précision_Passes,80.68,%
351,657,2022-2023,Tacles_Réussis,61.98,%
352,571,2022-2023,Distance_Parcourue_Match,8.75,km
353,571,2022-2023,Précision_Passes,80.68,%
354,571,2022-2023,Tacles_Réussis,61.98,%
355,832,2022-2023,Distance_Parcourue_Match,10.19,km
356,832,2022-2023,Précision_Passes,89.31,%
357,832,2022-2023,Tirs_Cadrés,42.51,%
358,215,2022-2023,Distance_Parcourue_Match,9.83,km
359,215,2022-2023,Vitesse_Max,32.4,km/h
360,215,2022-2023,Conversion_Tirs_Buts,33.07,%
361,757,2022-2023,Distance_Parcourue_Match,10.19,km
362,757,2022-2023,Précision_Passes,89.31,%
363,757,2022-2023,Tirs_Cadrés,42.51,%
364,884,2022-2023,Distance_Parcourue_Match,10.19,km
365,884,2022-2023,Précision_Passes,89.31,%
366,884,2022-2023,Tirs_Cadrés,42.51,%
367,93,2022-2023,Distance_Parcourue_Match,8.75,km
368,93,2022-2023,Précision_Passes,80.68,%
369,93,2022-2023,Tacles_Réussis,61.98,%
370,476,2022-2023,Distance_Parcourue_Match,9.83,km
371,476,2022-2023,Vitesse_Max,32.4,km/h
372,476,2022-2023,Conversion_Tirs_Buts,33.07,%
373,939,2022-2023,Distance_Parcourue_Match,10.19,km
374,939,2022-2023,Précision_Passes,89.31,%
375,939,2022-2023,Tirs_Cadrés,42.51,%
376,434,2022-2023,Distance_Parcourue_Match,10.19,km
377,434,2022-2023,Précision_Passes,89.31,%
378,434,2022-2023,Tirs_Cadrés,42.51,%
379,892,2022-2023,Distance_Parcourue_Match,8.75,km
380,892,2022-2023,Précision_Passes,80.68,%
381,892,2022-2023,Tacles_Réussis,61.98,%
382,348,2022-2023,Distance_Parcourue_Match,10.19,km
383,348,2022-2023,Précision_Passes,89.31,%
384,348,2022-2023,Tirs_Cadrés,42.51,%
385,87,2022-2023,Distance_Parcourue_Match,8.75,km
386,87,2022-2023,Précision_Passes,80.68,%
387,87,2022-2023,Tacles_Réussis,61.98,%
388,942,2022-2023,Distance_Parcourue_Match,9.83,km
389,942,2022-2023,Vitesse_Max,32.4,km/h
390,942,2022-2023,Conversion_Tirs_Buts,33.07,%
391,152,2022-2023,Distance_Parcourue_Match,10.19,km
392,152,2022-2023,Précision_Passes,89.31,%
393,152,2022-2023,Tirs_Cadrés,42.51,%
394,748,2022-2023,Distance_Parcourue_Match,9.83,km
395,748,2022-2023,Vitesse_Max,32.4,km/h
396,748,2022-2023,Conversion_Tirs_Buts,33.07,%
397,56,2022-2023,Distance_Parcourue_Match,10.19,km
398,56,2022-2023,Précision_Passes,89.31,%
399,56,2022-2023,Tirs_Cadrés,42.51,%
400,147,2022-2023,Distance_Parcourue_Match,8.75,km
401,147,2022-2023,Précision_Passes,80.68,%
402,147,2022-2023,Tacles_Réussis,61.98,%
403,270,2022-2023,Distance_Parcourue_Match,10.19,km
404,270,2022-2023,Précision_Passes,89.31,%
405,270,2022-2023,Tirs_Cadrés,42.51,%
406,914,2022-2023,Distance_Parcourue_Match,8.75,km
407,914,2022-2023,Précision_Passes,80.68,%
408,914,2022-2023,Tacles_Réussis,61.98,%
409,393,2022-2023,Distance_Parcourue_Match,10.19,km
410,393,2022-2023,Précision_Passes,89.31,%
411,393,2022-2023,Tirs_Cadrés,42.51,%
412,825,2022-2023,Distance_Parcourue_Match,9.83,km
413,825,2022-2023,Vitesse_Max,32.4,km/h
414,825,2022-2023,Conversion_Tirs_Buts,33.07,%
415,212,2022-2023,Distance_Parcourue_Match,10.19,km
416,212,2022-2023,Précision_Passes,89.31,%
417,212,2022-2023,Tirs_Cadrés,42.51,%
418,756,2022-2023,Distance_Parcourue_Match,9.83,km
419,756,2022-2023,Vitesse_Max,32.4,km/h
420,756,2022-2023,Conversion_Tirs_Buts,33.07,%
421,211,2022-2023,Distance_Parcourue_Match,10.19,km
422,211,2022-2023,Précision_Passes,89.31,%
423,211,2022-2023,Tirs_Cadrés,42.51,%
424,827,2022-2023,Distance_Parcourue_Match,10.19,km
425,827,2022-2023,Précision_Passes,89.31,%
426,827,2022-2023,Tirs_Cadrés,42.51,%
427,124,2022-2023,Distance_Parcourue_Match,8.75,km
428,124,2022-2023,Précision_Passes,80.68,%
429,124,2022-2023,Tacles_Réussis,61.98,%
430,468,2022-2023,Distance_Parcourue_Match,10.19,km
431,468,2022-2023,Précision_Passes,89.31,%
432,468,2022-2023,Tirs_Cadrés,42.51,%
433,341,2022-2023,Distance_Parcourue_Match,9.83,km
434,341,2022-2023,Vitesse_Max,32.4,km/h
435,341,2022-2023,Conversion_Tirs_Buts,33.07,%
436,974,2022-2023,Distance_Parcourue_Match,8.75,km
437,974,2022-2023,Précision_Passes,80.68,%
438,974,2022-2023,Tacles_Réussis,61.98,%
439,439,2022-2023,Distance_Parcourue_Match,10.19,km
440,439,2022-2023,Précision_Passes,89.31,%
441,439,2022-2023,Tirs_Cadrés,42.51,%
442,818,2022-2023,Distance_Parcourue_Match,10.19,km
443,818,2022-2023,Précision_Passes,89.31,%
444,818,2022-2023,Tirs_Cadrés,42.51,%
445,688,2022-2023,Distance_Parcourue_Match,8.75,km
446,688,2022-2023,Précision_Passes,80.68,%
447,688,2022-2023,Tacles_Réussis,61.98,%
448,807,2022-2023,Distance_Parcourue_Match,8.75,km
449,807,2022-2023,Précision_Passes,80.68,%
450,807,2022-2023,Tacles_Réussis,61.98,%
451,180,2022-2023,Distance_Parcourue_Match,8.75,km
452,180,2022-2023,Précision_Passes,80.68,%
453,180,2022-2023,Tacles_Réussis,61.98,%
454,607,2022-2023,Distance_Parcourue_Match,10.19,km
455,607,2022-2023,Précision_Passes,89.31,%
456,607,2022-2023,Tirs_Cadrés,42.51,%
457,895,2022-2023,Distance_Parcourue_Match,10.19,km
458,895,2022-2023,Précision_Passes,89.31,%
459,895,2022-2023,Tirs_Cadrés,42.51,%
460,678,2022-2023,Distance_Parcourue_Match,10.19,km
461,678,2022-2023,Précision_Passes,89.31,%
462,678,2022-2023,Tirs_Cadrés,42.51,%
463,107,2022-2023,Distance_Parcourue_Match,8.75,km
464,107,2022-2023,Précision_Passes,80.68,%
465,107,2022-2023,Tacles_Réussis,61.98,%
466,32,2022-2023,Distance_Parcourue_Match,10.19,km
467,32,2022-2023,Précision_Passes,89.31,%
468,32,2022-2023,Tirs_Cadrés,42.51,%
469,881,2022-2023,Distance_Parcourue_Match,8.75,km
470,881,2022-2023,Précision_Passes,80.68,%
471,881,2022-2023,Tacles_Réussis,61.98,%
472,600,2022-2023,Distance_Parcourue_Match,10.19,km
473,600,2022-2023,Précision_Passes,89.31,%
474,600,2022-2023,Tirs_Cadrés,42.51,%
475,836,2022-2023,Distance_Parcourue_Match,9.83,km
476,836,2022-2023,Vitesse_Max,32.4,km/h
477,836,2022-2023,Conversion_Tirs_Buts,33.07,%
478,88,2022-2023,Distance_Parcourue_Match,9.83,km
479,88,2022-2023,Vitesse_Max,32.4,km/h
480,88,2022-2023,Conversion_Tirs_Buts,33.07,%
481,285,2022-2023,Distance_Parcourue_Match,9.83,km
482,285,2022-2023,Vitesse_Max,32.4,km/h
483,285,2022-2023,Conversion_Tirs_Buts,33.07,%
484,718,2022-2023,Distance_Parcourue_Match,9.83,km
485,718,2022-2023,Vitesse_Max,32.4,km/h
486,718,2022-2023,Conversion_Tirs_Buts,33.07,%
487,944,2023-2024,Précision_Passes,71.42,%
488,944,2023-2024,Minutes_Totales,1527.0,minutes
489,866,2023-2024,Précision_Passes,71.42,%
490,866,2023-2024,Minutes_Totales,1527.0,minutes
491,237,2023-2024,Précision_Passes,71.42,%
492,237,2023-2024,Minutes_Totales,1527.0,minutes
493,728,2023-2024,Précision_Passes,71.42,%
494,728,2023-2024,Minutes_Totales,1527.0,minutes
495,406,2023-2024,Précision_Passes,71.42,%
496,406,2023-2024,Minutes_Totales,1527.0,minutes
497,731,2023-2024,Précision_Passes,71.42,%
498,731,2023-2024,Minutes_Totales,1527.0,minutes
499,380,2023-2024,Distance_Parcourue_Match,10.19,km
500,380,2023-2024,Précision_Passes,89.31,%
501,380,2023-2024,Tirs_Cadrés,42.51,%
502,414,2023-2024,Précision_Passes,71.42,%
503,414,2023-2024,Minutes_Totales,1527.0,minutes
504,976,2023-2024,Distance_Parcourue_Match,9.83,km
505,976,2023-2024,Vitesse_Max,32.4,km/h
506,976,2023-2024,Conversion_Tirs_Buts,33.07,%
507,590,2023-2024,Distance_Parcourue_Match,8.75,km
508,590,2023-2024,Précision_Passes,80.68,%
509,590,2023-2024,Tacles_Réussis,61.98,%
510,715,2023-2024,Distance_Parcourue_Match,8.75,km
511,715,2023-2024,Précision_Passes,80.68,%
512,715,2023-2024,Tacles_Réussis,61.98,%
513,342,2023-2024,Distance_Parcourue_Match,8.75,km
514,342,2023-2024,Précision_Passes,80.68,%
515,342,2023-2024,Tacles_Réussis,61.98,%
