ID_Psychologique,ID_Match,ID_Joueur,Confiance,Résilience
247,11,802,3,6
248,11,757,7,5
249,11,152,4,3
250,11,270,2,3
251,11,393,6,5
252,11,124,4,7
253,11,341,9,8
254,11,974,6,5
255,11,439,4,5
256,11,818,3,3
257,11,688,7,7
258,11,807,6,5
259,11,895,7,8
260,11,678,3,3
261,11,32,1,1
262,11,881,6,8
263,11,600,4,3
264,11,285,8,8
265,12,414,7,7
266,12,617,7,6
267,12,829,10,9
268,12,666,4,6
269,12,445,8,9
270,12,101,8,8
271,12,802,6,9
272,12,757,8,8
273,12,152,8,7
274,12,270,7,9
275,12,393,4,6
276,12,124,8,7
277,12,341,9,9
278,12,974,5,4
279,12,439,9,8
280,12,818,7,6
281,12,688,7,7
282,12,807,10,8
283,12,895,10,8
284,12,678,4,4
285,12,32,10,8
286,12,881,10,9
287,12,600,6,5
288,12,285,7,9
289,13,414,8,9
290,13,617,4,6
291,13,829,8,7
292,13,666,4,7
293,13,445,5,7
294,13,101,7,7
295,13,802,5,8
296,13,757,8,6
297,13,152,4,5
298,13,270,9,8
299,13,393,4,6
300,13,124,4,5
301,13,341,8,8
302,13,974,3,5
303,13,439,4,5
304,13,818,1,1
305,13,688,6,6
306,13,807,6,8
307,13,895,6,8
308,13,678,6,6
309,13,32,9,8
310,13,881,8,8
311,13,600,3,6
312,13,285,7,8
313,14,414,3,5
314,14,617,7,9
315,14,829,8,7
316,14,666,4,7
317,14,445,6,7
318,14,101,8,7
319,14,802,3,5
320,14,757,8,7
321,14,152,7,8
322,14,270,8,8
323,14,393,4,4
324,14,124,6,7
325,14,341,8,9
326,14,974,1,4
327,14,439,9,8
328,14,818,7,7
329,14,688,10,9
330,14,807,7,9
331,14,895,3,4
332,14,678,7,9
333,14,32,9,9
334,14,881,4,4
335,14,600,6,6
336,14,285,8,8
337,15,414,7,6
338,15,617,6,8
339,15,829,4,5
340,15,666,5,7
341,15,445,3,6
342,15,101,8,7
343,15,802,6,7
344,15,757,9,7
345,15,152,7,8
346,15,270,8,8
347,15,393,8,8
348,15,124,8,6
349,15,341,5,7
350,15,974,5,8
351,15,439,9,8
352,15,818,1,2
353,15,688,8,7
354,15,807,6,6
355,15,895,9,8
356,15,678,7,7
357,15,32,7,8
358,15,881,4,7
359,15,600,8,9
360,15,285,9,9
361,16,414,9,8
362,16,617,5,9
363,16,829,8,9
364,16,666,1,2
365,16,445,5,7
366,16,101,9,8
367,16,802,8,7
368,16,757,8,8
369,16,152,8,8
370,16,270,7,7
371,16,393,10,9
372,16,124,5,5
373,16,341,6,7
374,16,974,5,8
375,16,439,8,7
376,16,818,6,6
377,16,688,7,8
378,16,807,8,8
379,16,895,9,9
380,16,678,8,9
381,16,32,8,8
382,16,881,6,7
383,16,600,8,7
384,16,285,10,10
385,17,414,7,6
386,17,617,7,6
387,17,829,3,6
388,17,666,3,4
389,17,445,5,5
390,17,101,3,3
391,17,802,4,6
392,17,757,6,5
393,17,152,7,7
394,17,270,9,7
395,17,393,4,4
396,17,124,6,5
397,17,341,9,8
398,17,974,5,7
399,17,439,6,7
400,17,818,3,3
401,17,688,8,8
402,17,807,5,7
403,17,895,7,7
404,17,678,6,6
405,17,32,7,5
406,17,881,7,5
407,17,600,8,7
408,17,285,4,4
409,18,414,6,6
410,18,617,7,7
411,18,829,3,3
412,18,666,7,5
413,18,445,2,3
414,18,101,7,7
415,18,802,3,4
416,18,757,6,6
417,18,152,5,7
418,18,270,7,7
419,18,393,3,5
420,18,124,2,6
421,18,341,6,5
422,18,974,3,5
423,18,439,5,7
424,18,818,7,7
425,18,688,6,7
426,18,807,4,6
427,18,895,6,6
428,18,678,7,5
429,18,32,6,7
430,18,881,4,5
431,18,600,6,7
432,18,285,4,7
433,19,414,9,9
434,19,617,5,9
435,19,829,6,6
436,19,666,9,9
437,19,445,8,7
438,19,101,8,8
439,19,802,5,8
440,19,757,8,9
441,19,152,9,9
442,19,270,8,9
443,19,393,8,9
444,19,124,6,7
445,19,341,5,7
446,19,974,10,9
447,19,439,7,7
448,19,818,8,9
449,19,688,7,7
450,19,807,5,6
451,19,895,8,9
452,19,678,6,7
453,19,32,10,9
454,19,881,8,7
455,19,600,7,9
456,19,285,7,6
457,20,414,5,5
458,20,617,5,5
459,20,829,6,8
460,20,666,5,5
461,20,445,6,5
462,20,101,7,5
463,20,802,6,7
464,20,757,7,7
465,20,152,8,7
466,20,270,8,6
467,20,393,7,7
468,20,124,6,7
469,20,341,4,6
470,20,974,7,8
471,20,439,3,2
472,20,818,8,6
473,20,688,4,4
474,20,807,4,4
475,20,895,5,6
476,20,678,3,5
477,20,32,8,7
478,20,881,7,7
479,20,600,5,7
480,20,285,7,7
481,21,414,6,8
482,21,617,5,5
483,21,829,5,4
484,21,666,3,6
485,21,445,5,6
486,21,101,6,6
487,21,802,6,6
488,21,757,7,6
489,21,152,3,3
490,21,270,7,8
491,21,393,6,6
492,21,124,6,5
493,21,341,8,6
494,21,974,7,7
495,21,439,5,2
496,21,818,7,6
497,21,688,5,5
498,21,807,7,5
499,21,895,3,4
500,21,678,2,3
501,21,32,7,6
502,21,881,7,6
503,21,600,5,4
504,21,285,7,7
505,22,414,8,7
506,22,617,4,7
507,22,829,3,7
508,22,666,6,7
509,22,445,3,7
510,22,101,7,7
511,22,802,7,7
512,22,757,1,1
513,22,152,6,8
514,22,270,5,5
515,22,393,7,5
516,22,124,5,6
517,22,341,6,8
518,22,974,6,5
519,22,439,1,3
520,22,818,5,5
521,22,688,5,7
522,22,807,1,1
523,22,895,5,5
524,22,678,4,4
525,22,32,7,6
526,22,881,6,6
527,22,600,5,5
528,22,285,6,7
529,23,414,9,9
530,23,617,9,7
531,23,829,5,5
532,23,666,4,5
533,23,445,5,7
534,23,101,6,4
535,23,802,6,7
536,23,757,10,8
537,23,152,7,7
538,23,270,5,9
539,23,393,9,9
540,23,124,4,6
541,23,341,9,8
542,23,974,7,6
543,23,439,10,10
544,23,818,9,9
545,23,688,6,4
546,23,807,6,9
547,23,895,8,8
548,23,678,8,9
549,23,32,7,7
550,23,881,7,9
551,23,600,9,7
552,23,285,8,8
553,24,414,8,8
554,24,617,7,7
555,24,829,3,6
556,24,666,3,2
557,24,445,3,4
558,24,101,6,5
559,24,802,2,6
560,24,757,6,7
561,24,152,8,6
562,24,270,5,7
563,24,393,5,6
564,24,124,4,5
565,24,341,6,6
566,24,974,7,5
567,24,439,6,6
568,24,818,5,6
569,24,688,3,3
570,24,807,6,6
571,24,895,8,5
572,24,678,7,6
573,24,32,6,7
574,24,881,4,4
575,24,600,4,6
576,24,285,6,7
577,25,414,5,8
578,25,617,8,8
579,25,829,4,6
580,25,666,8,7
581,25,445,6,5
582,25,101,8,8
583,25,802,5,5
584,25,757,7,6
585,25,152,4,6
586,25,270,8,8
587,25,393,4,5
588,25,124,4,8
589,25,341,7,9
590,25,974,8,7
591,25,439,8,8
592,25,818,6,5
593,25,688,8,8
594,25,807,8,6
595,25,895,7,6
596,25,678,7,7
597,25,32,5,3
598,25,881,8,7
599,25,600,5,6
600,25,285,4,6
601,26,414,5,7
602,26,617,5,9
603,26,829,8,9
604,26,666,8,9
605,26,445,7,8
606,26,101,9,9
607,26,802,5,6
608,26,757,6,8
609,26,152,6,6
610,26,270,8,9
611,26,393,6,7
612,26,124,8,8
613,26,341,10,8
614,26,974,10,9
615,26,439,5,5
616,26,818,5,6
617,26,688,7,6
618,26,807,10,10
619,26,895,8,7
620,26,678,9,8
621,26,32,7,6
622,26,881,8,9
623,26,600,8,8
624,26,285,6,6
625,27,414,6,9
626,27,617,8,10
627,27,829,6,8
628,27,666,9,10
629,27,445,9,9
630,27,101,9,9
631,27,802,7,5
632,27,757,9,9
633,27,152,9,8
634,27,270,7,8
635,27,393,8,10
636,27,124,9,8
637,27,341,10,8
638,27,974,9,8
639,27,439,10,9
640,27,818,5,8
641,27,688,9,7
642,27,807,6,4
643,27,895,4,6
644,27,678,9,10
645,27,32,4,3
646,27,881,8,8
647,27,600,8,8
648,27,285,7,9
649,28,414,5,4
650,28,617,7,7
651,28,829,4,6
652,28,666,5,7
653,28,445,7,7
654,28,101,5,7
655,28,802,8,7
656,28,757,6,6
657,28,152,5,5
658,28,270,4,4
659,28,393,7,6
660,28,124,7,7
661,28,341,7,6
662,28,974,4,4
663,28,439,5,5
664,28,818,6,6
665,28,688,6,7
666,28,807,8,6
667,28,895,5,6
668,28,678,3,6
669,28,32,7,6
670,28,881,8,6
671,28,600,6,7
672,28,285,4,7
673,29,414,6,8
674,29,617,4,7
675,29,829,7,8
676,29,666,9,7
677,29,445,4,3
678,29,101,4,8
679,29,802,9,7
680,29,757,9,7
681,29,152,6,7
682,29,270,4,4
683,29,393,8,6
684,29,124,6,6
685,29,341,9,8
686,29,974,6,8
687,29,439,5,8
688,29,818,7,7
689,29,688,6,8
690,29,807,7,9
691,29,895,5,6
692,29,678,6,7
693,29,32,1,4
694,29,881,7,8
695,29,600,4,5
696,29,285,6,6
697,30,414,4,6
698,30,617,6,7
699,30,829,5,7
700,30,666,7,7
701,30,445,6,7
702,30,101,7,8
703,30,802,8,8
704,30,757,5,7
705,30,152,7,6
706,30,270,6,6
707,30,393,5,7
708,30,124,8,6
709,30,341,8,8
710,30,974,7,6
711,30,439,1,1
712,30,818,4,6
713,30,688,5,6
714,30,807,5,5
715,30,895,7,7
716,30,678,2,4
717,30,32,6,6
718,30,881,6,8
719,30,600,6,6
720,30,285,4,7
721,31,414,10,8
722,31,617,10,10
723,31,829,10,9
724,31,666,4,5
725,31,445,9,8
726,31,101,6,8
727,31,802,9,9
728,31,757,8,8
729,31,152,9,10
730,31,270,6,7
731,31,393,8,8
732,31,124,8,8
733,31,341,10,9
734,31,974,7,7
735,31,439,9,9
736,31,818,6,7
737,31,688,5,6
738,31,807,6,7
739,31,895,9,9
740,31,678,6,7
741,31,32,9,7
742,31,881,8,9
743,31,600,9,8
744,31,285,6,8
745,32,414,8,7
746,32,617,9,8
747,32,829,8,8
748,32,666,4,4
749,32,445,7,6
750,32,101,7,8
751,32,802,1,5
752,32,757,5,5
753,32,152,3,4
754,32,270,7,6
755,32,393,5,5
756,32,124,9,9
757,32,341,9,9
758,32,974,7,8
759,32,439,6,7
760,32,818,5,5
761,32,688,4,6
762,32,807,5,6
763,32,895,6,8
764,32,678,8,8
765,32,32,9,7
766,32,881,9,7
767,32,600,6,8
768,32,285,6,7
769,33,414,6,7
770,33,617,7,8
771,33,829,7,6
772,33,666,5,4
773,33,445,6,7
774,33,101,7,5
775,33,802,3,6
776,33,757,4,5
777,33,152,4,4
778,33,270,5,5
779,33,393,6,6
780,33,124,6,6
781,33,341,6,7
782,33,974,3,3
783,33,439,5,5
784,33,818,6,5
785,33,688,7,7
786,33,807,2,6
787,33,895,7,6
788,33,678,7,8
789,33,32,4,5
790,33,881,7,5
791,33,600,7,5
792,33,285,5,5
793,34,414,8,8
794,34,617,6,7
795,34,829,2,6
796,34,666,5,5
797,34,445,6,6
798,34,101,8,8
799,34,802,3,7
800,34,757,7,8
801,34,152,4,5
802,34,270,7,7
803,34,393,7,6
804,34,124,7,6
805,34,341,9,8
806,34,974,6,5
807,34,439,5,4
808,34,818,5,6
809,34,688,8,7
810,34,807,7,5
811,34,895,6,6
812,34,678,7,6
813,34,32,3,6
814,34,881,4,4
815,34,600,1,2
816,34,285,4,5
817,35,414,6,8
818,35,617,4,7
819,35,829,4,4
820,35,666,7,5
821,35,445,6,7
822,35,101,6,7
823,35,802,4,3
824,35,757,4,2
825,35,152,7,6
826,35,270,5,7
827,35,393,5,7
828,35,124,5,4
829,35,341,5,5
830,35,974,7,6
831,35,439,2,6
832,35,818,5,7
833,35,688,7,7
834,35,807,7,5
835,35,895,5,6
836,35,678,3,5
837,35,32,2,5
838,35,881,5,5
839,35,600,5,4
840,35,285,4,5
841,36,414,8,9
842,36,617,6,7
843,36,829,7,9
844,36,666,9,8
845,36,445,7,9
846,36,101,5,6
847,36,802,4,5
848,36,757,10,9
849,36,152,8,10
850,36,270,6,5
851,36,393,9,7
852,36,124,4,6
853,36,341,10,9
854,36,974,8,8
855,36,439,5,5
856,36,818,8,10
857,36,688,9,9
858,36,807,6,9
859,36,895,9,8
860,36,678,8,10
861,36,32,7,9
862,36,881,7,7
863,36,600,7,7
864,36,285,6,7
865,37,414,6,6
866,37,617,8,9
867,37,829,7,6
868,37,666,9,9
869,37,445,9,7
870,37,101,5,7
871,37,802,7,7
872,37,757,4,7
873,37,152,7,9
874,37,270,8,8
875,37,393,5,5
876,37,124,7,9
877,37,341,10,9
878,37,974,7,7
879,37,439,9,9
880,37,818,10,8
881,37,688,6,6
882,37,807,9,9
883,37,895,7,8
884,37,678,7,7
885,37,32,7,8
886,37,881,7,7
887,37,600,7,7
888,37,285,8,8
889,38,414,3,7
890,38,617,5,6
891,38,829,6,6
892,38,666,3,5
893,38,445,6,7
894,38,101,4,4
895,38,802,6,7
896,38,757,3,5
897,38,152,8,8
898,38,270,8,7
899,38,393,4,5
900,38,124,5,6
901,38,341,7,8
902,38,974,5,6
903,38,439,7,8
904,38,818,2,2
905,38,688,7,6
906,38,807,2,1
907,38,895,3,2
908,38,678,6,8
909,38,32,6,7
910,38,881,6,7
911,38,600,4,5
912,38,285,6,6
913,39,414,8,10
914,39,617,6,7
915,39,829,8,8
916,39,666,9,9
917,39,445,7,8
918,39,101,6,8
919,39,802,8,8
920,39,757,7,9
921,39,152,6,8
922,39,270,7,6
923,39,393,8,8
924,39,124,8,8
925,39,341,8,7
926,39,974,6,7
927,39,439,9,8
928,39,818,9,8
929,39,688,8,7
930,39,807,7,7
931,39,895,10,10
932,39,678,8,9
933,39,32,4,5
934,39,881,10,8
935,39,600,6,6
936,39,285,9,8
937,40,414,9,8
938,40,617,7,9
939,40,829,9,9
940,40,666,7,8
941,40,445,8,8
942,40,101,9,7
943,40,802,4,8
944,40,757,8,8
945,40,152,5,5
946,40,270,4,5
947,40,393,1,2
948,40,124,7,7
949,40,341,10,10
950,40,974,4,8
951,40,439,8,8
952,40,818,9,9
953,40,688,9,8
954,40,807,9,9
955,40,895,8,9
956,40,678,8,10
957,40,32,8,8
958,40,881,6,8
959,40,600,5,8
960,40,285,8,9
961,41,414,9,9
962,41,617,5,8
963,41,829,5,7
964,41,666,9,8
965,41,445,10,10
966,41,101,7,7
967,41,802,6,6
968,41,757,8,9
969,41,152,6,5
970,41,270,5,5
971,41,393,9,9
972,41,124,9,7
973,41,341,7,8
974,41,974,5,9
975,41,439,9,7
976,41,818,8,8
977,41,688,10,9
978,41,807,10,10
979,41,895,8,7
980,41,678,4,8
981,41,32,7,7
982,41,881,8,8
983,41,600,8,8
984,41,285,8,10
985,42,728,7,7
986,42,213,1,3
987,42,610,1,1
988,42,582,6,8
989,42,723,6,6
990,42,689,1,3
991,42,449,5,7
992,42,668,1,2
993,42,176,1,2
994,42,529,1,3
995,42,833,1,2
996,42,571,1,2
997,42,476,7,8
998,42,939,7,8
999,42,434,4,5
1000,42,348,4,7
1001,42,942,9,8
1002,42,748,7,8
1003,42,147,8,8
1004,42,825,8,8
1005,42,212,6,8
1006,42,756,1,3
1007,42,211,3,7
1008,42,827,8,7
1009,42,468,1,1
1010,43,728,9,9
1011,43,213,6,8
1012,43,610,8,8
1013,43,582,8,7
1014,43,723,5,4
1015,43,689,10,8
1016,43,449,7,5
1017,43,668,5,5
1018,43,176,1,2
1019,43,529,8,9
1020,43,833,8,9
1021,43,571,1,2
1022,43,476,5,5
1023,43,939,8,9
1024,43,434,7,8
1025,43,348,4,6
1026,43,942,4,7
1027,43,748,8,7
1028,43,147,8,8
1029,43,825,8,8
1030,43,212,3,7
1031,43,756,9,8
1032,43,211,4,5
1033,43,827,7,6
1034,43,468,1,2
1035,44,728,9,9
1036,44,213,7,8
1037,44,610,8,9
1038,44,582,8,9
1039,44,723,6,6
1040,44,689,5,6
1041,44,449,9,7
1042,44,668,8,8
1043,44,176,2,4
1044,44,529,7,9
1045,44,833,8,10
1046,44,571,7,7
1047,44,476,8,9
1048,44,939,9,7
1049,44,434,8,9
1050,44,348,10,10
1051,44,942,7,9
1052,44,748,5,9
1053,44,147,4,7
1054,44,825,9,9
1055,44,212,8,9
1056,44,756,8,8
1057,44,211,5,7
1058,44,827,10,8
1059,44,468,4,7
1060,45,728,6,9
1061,45,213,9,8
1062,45,610,5,9
1063,45,582,8,9
1064,45,723,6,8
1065,45,689,10,9
1066,45,449,7,8
1067,45,668,8,8
1068,45,176,2,3
1069,45,529,8,8
1070,45,833,8,9
1071,45,571,8,9
1072,45,476,10,10
1073,45,939,5,5
1074,45,434,10,9
1075,45,348,8,9
1076,45,942,8,10
1077,45,748,8,10
1078,45,147,10,8
1079,45,825,9,8
1080,45,212,7,9
1081,45,756,8,9
1082,45,211,9,9
1083,45,827,6,6
1084,45,468,4,8
1085,46,728,4,6
1086,46,213,7,7
1087,46,610,3,6
1088,46,582,5,6
1089,46,723,4,4
1090,46,689,6,7
1091,46,449,6,6
1092,46,668,3,5
1093,46,176,8,7
1094,46,529,7,7
1095,46,833,6,8
1096,46,571,5,7
1097,46,476,6,8
1098,46,939,5,7
1099,46,434,4,4
1100,46,348,7,7
1101,46,942,7,7
1102,46,748,5,5
1103,46,147,7,8
1104,46,825,6,6
1105,46,212,6,6
1106,46,756,8,7
1107,46,211,6,7
1108,46,827,1,4
1109,46,468,4,5
1110,47,728,5,8
1111,47,213,9,10
1112,47,610,9,8
1113,47,582,9,7
1114,47,723,7,7
1115,47,689,8,10
1116,47,449,10,9
1117,47,668,7,5
1118,47,176,9,7
1119,47,529,1,4
1120,47,833,8,9
1121,47,571,7,9
1122,47,476,10,10
1123,47,939,7,8
1124,47,434,9,8
1125,47,348,2,6
1126,47,942,9,9
1127,47,748,8,8
1128,47,147,9,9
1129,47,825,9,8
1130,47,212,6,7
1131,47,756,9,8
1132,47,211,7,9
1133,47,827,6,7
1134,47,468,5,5
1135,48,728,6,8
1136,48,213,8,8
1137,48,610,8,9
1138,48,582,5,8
1139,48,723,4,5
1140,48,689,10,8
1141,48,449,8,9
1142,48,668,7,7
1143,48,176,8,9
1144,48,529,6,6
1145,48,833,7,6
1146,48,571,6,8
1147,48,476,10,8
1148,48,939,9,7
1149,48,434,9,8
1150,48,348,9,7
1151,48,942,8,8
1152,48,748,9,9
1153,48,147,9,9
1154,48,825,8,8
1155,48,212,9,8
1156,48,756,10,7
1157,48,211,5,7
1158,48,827,9,8
1159,48,468,6,7
1160,49,728,6,7
1161,49,213,9,8
1162,49,610,8,7
1163,49,582,5,7
1164,49,723,5,7
1165,49,689,7,7
1166,49,449,5,5
1167,49,668,5,6
1168,49,176,4,5
1169,49,529,8,7
1170,49,833,4,6
1171,49,571,5,6
1172,49,476,7,8
1173,49,939,7,8
1174,49,434,4,5
1175,49,348,3,4
1176,49,942,7,7
1177,49,748,9,8
1178,49,147,6,5
1179,49,825,8,9
1180,49,212,5,4
1181,49,756,9,9
1182,49,211,9,8
1183,49,827,7,9
1184,49,468,6,7
1185,50,728,6,8
1186,50,213,5,7
1187,50,610,4,5
1188,50,582,6,8
1189,50,723,7,6
1190,50,689,5,6
1191,50,449,5,5
1192,50,668,4,3
1193,50,176,6,5
1194,50,529,4,6
1195,50,833,6,5
1196,50,571,2,4
1197,50,476,8,7
1198,50,939,5,5
1199,50,434,3,3
1200,50,348,3,5
1201,50,942,6,8
1202,50,748,8,7
1203,50,147,6,8
1204,50,825,6,5
1205,50,212,5,6
1206,50,756,7,7
1207,50,211,5,6
1208,50,827,2,3
1209,50,468,6,5
1210,51,728,9,10
1211,51,213,4,8
1212,51,610,5,8
1213,51,582,4,8
1214,51,723,7,9
1215,51,689,6,6
1216,51,449,10,8
1217,51,668,6,8
1218,51,176,9,7
1219,51,529,5,7
1220,51,833,7,9
1221,51,571,5,6
1222,51,476,9,8
1223,51,939,9,8
1224,51,434,6,8
1225,51,348,6,8
1226,51,942,10,8
1227,51,748,10,8
1228,51,147,6,4
1229,51,825,9,9
1230,51,212,7,7
1231,51,756,10,8
1232,51,211,5,6
1233,51,827,5,6
1234,51,468,8,9
1235,52,728,9,8
1236,52,213,5,6
1237,52,610,5,5
1238,52,582,4,5
1239,52,723,9,7
1240,52,689,7,7
1241,52,449,10,9
1242,52,668,6,6
1243,52,176,7,6
1244,52,529,8,7
1245,52,833,5,5
1246,52,571,9,8
1247,52,476,8,6
1248,52,939,8,8
1249,52,434,5,4
1250,52,348,8,7
1251,52,942,9,9
1252,52,748,7,9
1253,52,147,5,8
1254,52,825,9,7
1255,52,212,9,7
1256,52,756,9,7
1257,52,211,7,8
1258,52,827,8,6
1259,52,468,6,8
1260,53,728,7,7
1261,53,213,5,6
1262,53,610,2,4
1263,53,582,4,4
1264,53,723,2,4
1265,53,689,6,6
1266,53,449,6,6
1267,53,668,2,5
1268,53,176,2,5
1269,53,529,7,7
1270,53,833,7,8
1271,53,571,8,6
1272,53,476,8,8
1273,53,939,5,6
1274,53,434,5,6
1275,53,348,8,8
1276,53,942,6,6
1277,53,748,7,6
1278,53,147,6,7
1279,53,825,7,6
1280,53,212,7,7
1281,53,756,5,7
1282,53,211,7,7
1283,53,827,5,7
1284,53,468,5,7
1285,54,728,10,9
1286,54,213,6,9
1287,54,610,8,10
1288,54,582,9,10
1289,54,723,5,6
1290,54,689,7,9
1291,54,449,10,9
1292,54,668,7,8
1293,54,176,4,4
1294,54,529,7,9
1295,54,833,10,8
1296,54,571,7,8
1297,54,476,8,10
1298,54,939,6,7
1299,54,434,10,10
1300,54,348,5,4
1301,54,942,7,8
1302,54,748,8,9
1303,54,147,6,8
1304,54,825,10,10
1305,54,212,10,8
1306,54,756,8,10
1307,54,211,5,5
1308,54,827,9,9
1309,54,468,8,7
1310,55,728,5,6
1311,55,213,8,6
1312,55,610,6,7
1313,55,582,6,6
1314,55,723,7,5
1315,55,689,8,7
1316,55,449,6,8
1317,55,668,6,6
1318,55,176,6,5
1319,55,529,7,8
1320,55,833,8,6
1321,55,571,6,7
1322,55,476,2,6
1323,55,939,5,7
1324,55,434,7,7
1325,55,348,7,5
1326,55,942,6,8
1327,55,748,3,5
1328,55,147,4,4
1329,55,825,3,3
1330,55,212,5,5
1331,55,756,7,7
1332,55,211,7,7
1333,55,827,6,5
1334,55,468,6,6
1335,56,728,4,6
1336,56,213,8,7
1337,56,610,7,7
1338,56,582,7,8
1339,56,723,8,8
1340,56,689,8,7
1341,56,449,9,9
1342,56,668,7,7
1343,56,176,7,8
1344,56,529,7,8
1345,56,833,7,7
1346,56,571,4,4
1347,56,476,5,7
1348,56,939,6,7
1349,56,434,8,6
1350,56,348,6,6
1351,56,942,6,5
1352,56,748,6,7
1353,56,147,3,5
1354,56,825,4,7
1355,56,212,7,6
1356,56,756,6,6
1357,56,211,5,6
