ID_Contexte,ID_Match,Saison,Météo,Etat_Terrain,Adversaire,Compétition
113,113,Printemps,Ensoleillé,Sec,Roy FC,Ligue
114,114,Printemps,Ensoleillé,Humide,Fitzgerald FC,Ligue
115,115,Été,Ensoleillé,Sec,Roy FC,Ligue
116,116,Été,Ensoleillé,Sec,Morton FC,Ligue
117,117,Hiver,Pluvieux,Boueux,Dennis FC,Coupe
118,118,Printemps,Ensoleillé,Sec,Ellis FC,Coupe
119,119,Automne,Venteux,Boueux,Moore FC,Amical
120,120,Automne,Venteux,Boueux,Raymond FC,Amical
121,121,Hiver,Pluvieux,Humide,Wood FC,Amical
122,122,Printemps,Nuageux,Sec,Weeks FC,Amical
123,123,Printemps,Ensoleillé,Sec,Webster FC,Amical
124,124,Automne,Nuageux,Humide,Williams FC,Ligue
125,125,Automne,Nuageux,Humide,Ross FC,Ligue
126,126,Automne,Nuageux,Humide,Estes FC,Ligue
127,127,Automne,Nuageux,Humide,Horne FC,Ligue
128,128,Automne,Pluvieux,Boueux,Miller FC,Ligue
129,129,Automne,Pluvieux,Humide,Williamson FC,Ligue
130,130,Automne,Nuageux,Boueux,Coleman FC,Ligue
131,131,Hiver,Nuageux,Humide,Estes FC,Ligue
132,132,Hiver,Nuageux,Humide,Williams FC,Ligue
133,133,Hiver,Pluvieux,Humide,Ross FC,Ligue
134,134,Hiver,Pluvieux,Humide,Williams FC,Ligue
135,135,Hiver,Pluvieux,Boueux,Peterson FC,Ligue
136,136,Hiver,Pluvieux,Sec,Estes FC,Ligue
137,137,Hiver,Pluvieux,Humide,Peterson FC,Ligue
138,138,Hiver,Nuageux,Humide,Taylor FC,Ligue
139,139,Hiver,Nuageux,Humide,Sherman FC,Ligue
140,140,Hiver,Pluvieux,Boueux,Coleman FC,Ligue
141,141,Printemps,Ensoleillé,Sec,Ross FC,Ligue
142,142,Printemps,Ensoleillé,Sec,Estes FC,Ligue
143,143,Printemps,Nuageux,Sec,Horne FC,Ligue
144,144,Printemps,Pluvieux,Humide,Estes FC,Ligue
145,145,Printemps,Nuageux,Humide,Williamson FC,Ligue
146,146,Printemps,Nuageux,Sec,Horne FC,Ligue
147,147,Printemps,Ensoleillé,Sec,Cline FC,Ligue
148,148,Printemps,Ensoleillé,Sec,Cervantes FC,Ligue
149,149,Été,Nuageux,Sec,White FC,Ligue
150,150,Été,Ensoleillé,Sec,Peterson FC,Ligue
151,151,Été,Ensoleillé,Sec,Sherman FC,Ligue
152,152,Été,Ensoleillé,Sec,Williams FC,Ligue
153,153,Été,Ensoleillé,Sec,Horne FC,Ligue
154,154,Automne,Nuageux,Boueux,Vincent FC,Coupe
155,155,Automne,Venteux,Humide,Anderson FC,Coupe
156,156,Automne,Venteux,Humide,Lane FC,Coupe
157,157,Hiver,Ensoleillé,Humide,Wright FC,Coupe
158,158,Été,Ensoleillé,Sec,Little FC,Coupe
159,159,Automne,Venteux,Boueux,Hernandez FC,Amical
160,160,Automne,Pluvieux,Humide,Mitchell FC,Amical
161,161,Automne,Pluvieux,Boueux,Bradley FC,Amical
162,162,Hiver,Pluvieux,Humide,Cortez FC,Amical
163,163,Hiver,Nuageux,Boueux,Jefferson FC,Amical
164,164,Hiver,Pluvieux,Boueux,Powers FC,Amical
165,165,Hiver,Pluvieux,Humide,Hardin FC,Amical
166,166,Hiver,Nuageux,Boueux,Watson FC,Amical
167,167,Printemps,Pluvieux,Sec,Donovan FC,Amical
168,168,Printemps,Nuageux,Humide,Thomas FC,Amical
169,169,Automne,Nuageux,Sec,Hill FC,Ligue
170,170,Automne,Pluvieux,Humide,Kelly FC,Ligue
171,171,Automne,Nuageux,Boueux,Leon FC,Ligue
172,172,Automne,Nuageux,Humide,Kelly FC,Ligue
173,173,Automne,Nuageux,Boueux,Lawson FC,Ligue
174,174,Automne,Pluvieux,Humide,Hill FC,Ligue
175,175,Automne,Ensoleillé,Boueux,Durham FC,Ligue
176,176,Automne,Nuageux,Sec,Durham FC,Ligue
177,177,Automne,Nuageux,Humide,Thomas FC,Ligue
178,178,Automne,Nuageux,Boueux,Garcia FC,Ligue
179,179,Automne,Venteux,Humide,Leon FC,Ligue
180,180,Hiver,Pluvieux,Boueux,Simpson FC,Ligue
181,181,Hiver,Pluvieux,Humide,Simpson FC,Ligue
182,182,Hiver,Pluvieux,Humide,Thomas FC,Ligue
183,183,Hiver,Pluvieux,Humide,Lewis FC,Ligue
184,184,Hiver,Nuageux,Boueux,Leon FC,Ligue
185,185,Hiver,Ensoleillé,Boueux,Harrington FC,Ligue
186,186,Hiver,Pluvieux,Humide,Hill FC,Ligue
187,187,Hiver,Nuageux,Humide,Kelly FC,Ligue
188,188,Hiver,Pluvieux,Humide,Durham FC,Ligue
189,189,Hiver,Pluvieux,Humide,Lawson FC,Ligue
190,190,Printemps,Ensoleillé,Humide,Orozco FC,Ligue
191,191,Printemps,Nuageux,Humide,Harrington FC,Ligue
192,192,Printemps,Nuageux,Humide,Lawson FC,Ligue
193,193,Printemps,Pluvieux,Sec,Garcia FC,Ligue
194,194,Printemps,Nuageux,Sec,Norton FC,Ligue
195,195,Printemps,Ensoleillé,Sec,Norton FC,Ligue
196,196,Printemps,Ensoleillé,Sec,Orozco FC,Ligue
197,197,Été,Venteux,Sec,Lawson FC,Ligue
198,198,Été,Ensoleillé,Sec,Norton FC,Ligue
199,199,Automne,Pluvieux,Humide,Thomas FC,Coupe
200,200,Printemps,Nuageux,Sec,Saunders FC,Coupe
201,201,Été,Ensoleillé,Sec,Rodriguez FC,Amical
202,202,Automne,Nuageux,Sec,Lowery FC,Amical
203,203,Automne,Nuageux,Humide,Harvey FC,Amical
204,204,Printemps,Ensoleillé,Humide,Watson FC,Amical
205,205,Été,Ensoleillé,Sec,Kelly FC,Amical
206,206,Automne,Nuageux,Boueux,Shepherd FC,Ligue
207,207,Automne,Nuageux,Humide,Holmes FC,Ligue
208,208,Automne,Nuageux,Humide,Sexton FC,Ligue
209,209,Automne,Nuageux,Humide,Roberts FC,Ligue
210,210,Automne,Pluvieux,Humide,Ortega FC,Ligue
211,211,Automne,Nuageux,Humide,Maldonado FC,Ligue
212,212,Automne,Ensoleillé,Humide,Clark FC,Ligue
213,213,Automne,Ensoleillé,Humide,Holmes FC,Ligue
214,214,Automne,Pluvieux,Boueux,Clark FC,Ligue
215,215,Automne,Venteux,Sec,Sexton FC,Ligue
216,216,Automne,Nuageux,Sec,Shepherd FC,Ligue
217,217,Hiver,Pluvieux,Humide,Shepherd FC,Ligue
218,218,Hiver,Nuageux,Humide,Sexton FC,Ligue
219,219,Hiver,Nuageux,Boueux,Clark FC,Ligue
220,220,Hiver,Pluvieux,Sec,Holmes FC,Ligue
221,221,Hiver,Pluvieux,Humide,Hughes FC,Ligue
222,222,Hiver,Pluvieux,Humide,Clark FC,Ligue
223,223,Hiver,Pluvieux,Humide,Warren FC,Ligue
224,224,Printemps,Ensoleillé,Sec,Smith FC,Ligue
225,225,Printemps,Ensoleillé,Humide,Clark FC,Ligue
226,226,Printemps,Ensoleillé,Sec,Davis FC,Ligue
227,227,Printemps,Ensoleillé,Humide,Hughes FC,Ligue
228,228,Printemps,Ensoleillé,Sec,Knight FC,Ligue
229,229,Printemps,Ensoleillé,Humide,Conway FC,Ligue
230,230,Printemps,Pluvieux,Sec,Roberts FC,Ligue
231,231,Été,Nuageux,Sec,Knight FC,Ligue
232,232,Été,Ensoleillé,Sec,Clark FC,Ligue
233,233,Été,Ensoleillé,Sec,Warren FC,Ligue
234,234,Été,Ensoleillé,Sec,Hughes FC,Ligue
235,235,Été,Venteux,Sec,Clark FC,Ligue
236,236,Automne,Nuageux,Humide,Davis FC,Coupe
237,237,Printemps,Ensoleillé,Humide,Cook FC,Coupe
238,238,Printemps,Ensoleillé,Sec,Hall FC,Coupe
239,239,Printemps,Ensoleillé,Humide,Kirk FC,Coupe
240,240,Printemps,Ensoleillé,Sec,Edwards FC,Coupe
241,241,Automne,Ensoleillé,Humide,Klein FC,Amical
242,242,Automne,Venteux,Boueux,Gonzalez FC,Amical
243,243,Automne,Venteux,Humide,Johnson FC,Amical
244,244,Automne,Nuageux,Boueux,Lee FC,Amical
245,245,Hiver,Ensoleillé,Boueux,Duncan FC,Amical
246,246,Hiver,Pluvieux,Humide,Gonzalez FC,Amical
247,247,Hiver,Pluvieux,Humide,Alvarado FC,Amical
248,248,Hiver,Pluvieux,Humide,Miller FC,Amical
249,249,Hiver,Ensoleillé,Boueux,Cole FC,Amical
250,250,Printemps,Pluvieux,Sec,Herrera FC,Amical
251,251,Été,Nuageux,Sec,Thomas FC,Ligue
252,252,Été,Nuageux,Sec,Pittman FC,Ligue
253,253,Automne,Nuageux,Humide,Pittman FC,Ligue
254,254,Automne,Nuageux,Humide,Dominguez FC,Ligue
255,255,Automne,Nuageux,Humide,Anderson FC,Ligue
256,256,Automne,Nuageux,Boueux,Ray FC,Ligue
257,257,Automne,Pluvieux,Humide,Foley FC,Ligue
258,258,Automne,Pluvieux,Humide,Anderson FC,Ligue
259,259,Automne,Pluvieux,Boueux,Duarte FC,Ligue
260,260,Automne,Nuageux,Humide,Chen FC,Ligue
261,261,Automne,Nuageux,Humide,Ray FC,Ligue
262,262,Automne,Pluvieux,Sec,Klein FC,Ligue
263,263,Hiver,Nuageux,Humide,Reyes FC,Ligue
264,264,Hiver,Pluvieux,Humide,Chen FC,Ligue
265,265,Hiver,Pluvieux,Boueux,Duarte FC,Ligue
266,266,Hiver,Nuageux,Humide,Chen FC,Ligue
267,267,Hiver,Pluvieux,Sec,Thomas FC,Ligue
268,268,Hiver,Venteux,Humide,Dominguez FC,Ligue
269,269,Printemps,Ensoleillé,Sec,Ray FC,Ligue
270,270,Printemps,Ensoleillé,Sec,Chen FC,Ligue
271,271,Printemps,Nuageux,Sec,Winters FC,Ligue
272,272,Printemps,Pluvieux,Humide,Perry FC,Ligue
273,273,Printemps,Nuageux,Sec,Klein FC,Ligue
274,274,Printemps,Pluvieux,Sec,Foley FC,Ligue
275,275,Printemps,Ensoleillé,Sec,Pittman FC,Ligue
276,276,Printemps,Ensoleillé,Sec,Mueller FC,Ligue
277,277,Printemps,Pluvieux,Sec,Reyes FC,Ligue
278,278,Été,Ensoleillé,Sec,Anderson FC,Ligue
279,279,Été,Ensoleillé,Sec,Perry FC,Ligue
280,280,Été,Nuageux,Sec,Williams FC,Ligue
281,281,Automne,Nuageux,Humide,Washington FC,Coupe
282,282,Hiver,Nuageux,Boueux,Flores FC,Coupe
283,283,Printemps,Nuageux,Sec,Medina FC,Coupe
284,284,Été,Nuageux,Sec,Lee FC,Coupe
285,285,Automne,Nuageux,Humide,Boone FC,Amical
286,286,Hiver,Pluvieux,Humide,Hampton FC,Amical
287,287,Hiver,Pluvieux,Boueux,Davis FC,Amical
288,288,Hiver,Nuageux,Humide,Diaz FC,Amical
289,289,Printemps,Ensoleillé,Humide,Gordon FC,Amical
290,290,Printemps,Nuageux,Sec,Nunez FC,Amical
291,291,Printemps,Ensoleillé,Humide,Patterson FC,Amical
292,292,Été,Nuageux,Sec,Huffman FC,Ligue
293,293,Automne,Pluvieux,Humide,Yu FC,Ligue
294,294,Automne,Nuageux,Boueux,Simpson FC,Ligue
295,295,Automne,Venteux,Humide,Ross FC,Ligue
296,296,Automne,Pluvieux,Humide,Martinez FC,Ligue
297,297,Automne,Nuageux,Humide,Roberts FC,Ligue
298,298,Automne,Pluvieux,Sec,White FC,Ligue
299,299,Automne,Nuageux,Humide,Roberts FC,Ligue
300,300,Automne,Venteux,Boueux,Huffman FC,Ligue
301,301,Hiver,Pluvieux,Humide,Clark FC,Ligue
302,302,Hiver,Pluvieux,Humide,Hansen FC,Ligue
303,303,Hiver,Nuageux,Sec,Nelson FC,Ligue
304,304,Hiver,Nuageux,Humide,Hall FC,Ligue
305,305,Hiver,Pluvieux,Humide,Roberts FC,Ligue
306,306,Hiver,Nuageux,Humide,Johnson FC,Ligue
307,307,Hiver,Pluvieux,Boueux,Huffman FC,Ligue
308,308,Hiver,Ensoleillé,Humide,Hansen FC,Ligue
309,309,Printemps,Ensoleillé,Humide,Simpson FC,Ligue
310,310,Printemps,Ensoleillé,Sec,Johnson FC,Ligue
311,311,Printemps,Pluvieux,Sec,White FC,Ligue
312,312,Printemps,Nuageux,Sec,Yu FC,Ligue
313,313,Printemps,Ensoleillé,Humide,Johnson FC,Ligue
314,314,Printemps,Ensoleillé,Humide,Ross FC,Ligue
315,315,Printemps,Pluvieux,Humide,Hall FC,Ligue
316,316,Été,Ensoleillé,Sec,Clark FC,Ligue
317,317,Été,Nuageux,Sec,White FC,Ligue
318,318,Été,Venteux,Sec,Bennett FC,Ligue
319,319,Été,Nuageux,Sec,Ross FC,Ligue
320,320,Été,Nuageux,Sec,Johnson FC,Ligue
321,321,Été,Ensoleillé,Sec,Dixon FC,Ligue
322,322,Automne,Pluvieux,Humide,Ellis FC,Coupe
323,323,Hiver,Ensoleillé,Humide,Koch FC,Coupe
324,324,Printemps,Nuageux,Sec,Gibson FC,Coupe
325,325,Printemps,Nuageux,Humide,Moyer FC,Coupe
326,326,Automne,Venteux,Boueux,Jefferson FC,Amical
327,327,Hiver,Nuageux,Humide,Daugherty FC,Amical
328,328,Hiver,Pluvieux,Boueux,Miller FC,Amical
329,329,Printemps,Ensoleillé,Sec,Wilson FC,Amical
330,330,Printemps,Nuageux,Sec,Gregory FC,Amical
331,331,Printemps,Nuageux,Sec,Wright FC,Amical
332,332,Printemps,Ensoleillé,Humide,Mata FC,Amical
333,333,Automne,Pluvieux,Boueux,Serrano FC,Ligue
334,334,Automne,Nuageux,Humide,Johnson FC,Ligue
335,335,Automne,Pluvieux,Humide,Wallace FC,Ligue
336,336,Automne,Pluvieux,Boueux,Cook FC,Ligue
337,337,Automne,Pluvieux,Humide,Butler FC,Ligue
338,338,Automne,Pluvieux,Humide,Glover FC,Ligue
339,339,Automne,Pluvieux,Humide,Johnson FC,Ligue
340,340,Automne,Nuageux,Humide,Hall FC,Ligue
341,341,Hiver,Pluvieux,Boueux,Butler FC,Ligue
342,342,Hiver,Pluvieux,Humide,Martinez FC,Ligue
343,343,Hiver,Ensoleillé,Humide,Martinez FC,Ligue
344,344,Hiver,Ensoleillé,Boueux,Martinez FC,Ligue
345,345,Hiver,Nuageux,Humide,Johnson FC,Ligue
346,346,Hiver,Ensoleillé,Boueux,Ramirez FC,Ligue
347,347,Hiver,Nuageux,Boueux,Ramirez FC,Ligue
348,348,Hiver,Nuageux,Boueux,Johnson FC,Ligue
349,349,Hiver,Pluvieux,Humide,Serrano FC,Ligue
350,350,Hiver,Nuageux,Humide,Nelson FC,Ligue
351,351,Hiver,Pluvieux,Sec,Glover FC,Ligue
352,352,Hiver,Pluvieux,Humide,Cook FC,Ligue
353,353,Hiver,Ensoleillé,Sec,Glover FC,Ligue
354,354,Printemps,Nuageux,Humide,Butler FC,Ligue
355,355,Printemps,Ensoleillé,Sec,Butler FC,Ligue
356,356,Printemps,Pluvieux,Humide,Smith FC,Ligue
357,357,Printemps,Ensoleillé,Humide,Smith FC,Ligue
358,358,Printemps,Pluvieux,Humide,Cook FC,Ligue
359,359,Printemps,Ensoleillé,Sec,Serrano FC,Ligue
360,360,Été,Ensoleillé,Sec,Johnson FC,Ligue
361,361,Été,Venteux,Sec,Butler FC,Ligue
362,362,Été,Ensoleillé,Sec,Hawkins FC,Ligue
363,363,Hiver,Pluvieux,Boueux,Rodriguez FC,Coupe
364,364,Hiver,Pluvieux,Humide,Turner FC,Coupe
365,365,Printemps,Pluvieux,Sec,Dickerson FC,Coupe
366,366,Printemps,Nuageux,Sec,Barnes FC,Coupe
367,367,Printemps,Nuageux,Sec,Pope FC,Coupe
368,368,Automne,Nuageux,Humide,Vasquez FC,Amical
369,369,Hiver,Ensoleillé,Humide,Jacobs FC,Amical
370,370,Hiver,Pluvieux,Sec,Scott FC,Amical
371,371,Hiver,Pluvieux,Humide,Peterson FC,Amical
372,372,Printemps,Nuageux,Sec,Gross FC,Amical
373,373,Printemps,Nuageux,Sec,Lynch FC,Amical
374,374,Printemps,Ensoleillé,Humide,Melton FC,Amical
375,375,Printemps,Nuageux,Humide,Gonzalez FC,Amical
376,376,Été,Ensoleillé,Sec,Sanchez FC,Amical
377,377,Été,Ensoleillé,Sec,Stephenson FC,Amical
378,378,Été,Nuageux,Sec,Stewart FC,Ligue
379,379,Automne,Pluvieux,Humide,Sanders FC,Ligue
380,380,Automne,Nuageux,Humide,Ruiz FC,Ligue
381,381,Automne,Nuageux,Humide,Roy FC,Ligue
382,382,Automne,Venteux,Humide,Yates FC,Ligue
383,383,Automne,Pluvieux,Boueux,Fitzgerald FC,Ligue
384,384,Automne,Ensoleillé,Humide,Jennings FC,Ligue
385,385,Automne,Venteux,Humide,Jennings FC,Ligue
386,386,Automne,Nuageux,Sec,Rodgers FC,Ligue
387,387,Hiver,Nuageux,Humide,Garcia FC,Ligue
388,388,Hiver,Pluvieux,Humide,Gordon FC,Ligue
389,389,Hiver,Pluvieux,Sec,Rodgers FC,Ligue
390,390,Hiver,Venteux,Humide,Mccall FC,Ligue
391,391,Hiver,Pluvieux,Humide,Ruiz FC,Ligue
392,392,Hiver,Nuageux,Boueux,Ruiz FC,Ligue
393,393,Hiver,Nuageux,Humide,Caldwell FC,Ligue
394,394,Hiver,Nuageux,Humide,Morton FC,Ligue
395,395,Hiver,Ensoleillé,Humide,Meyer FC,Ligue
396,396,Printemps,Ensoleillé,Sec,Stewart FC,Ligue
397,397,Printemps,Ensoleillé,Sec,Gordon FC,Ligue
398,398,Printemps,Ensoleillé,Humide,Garcia FC,Ligue
399,399,Printemps,Pluvieux,Humide,Garcia FC,Ligue
400,400,Printemps,Ensoleillé,Sec,Soto FC,Ligue
401,401,Printemps,Ensoleillé,Humide,Stewart FC,Ligue
402,402,Printemps,Nuageux,Sec,Morton FC,Ligue
403,403,Printemps,Nuageux,Humide,Yates FC,Ligue
404,404,Printemps,Ensoleillé,Humide,Stewart FC,Ligue
405,405,Été,Venteux,Sec,Mccall FC,Ligue
406,406,Été,Ensoleillé,Sec,Gordon FC,Ligue
407,407,Été,Ensoleillé,Sec,Jennings FC,Ligue
408,408,Hiver,Pluvieux,Humide,Stephenson FC,Coupe
409,409,Hiver,Nuageux,Humide,Jackson FC,Coupe
410,410,Automne,Pluvieux,Humide,Lopez FC,Amical
411,411,Automne,Pluvieux,Humide,Bolton FC,Amical
412,412,Hiver,Pluvieux,Humide,Ortega FC,Amical
413,413,Hiver,Ensoleillé,Humide,Moreno FC,Amical
414,414,Été,Ensoleillé,Sec,Scott FC,Amical
415,415,Été,Venteux,Sec,Taylor FC,Ligue
416,416,Automne,Pluvieux,Humide,Estes FC,Ligue
417,417,Automne,Pluvieux,Humide,Taylor FC,Ligue
418,418,Automne,Pluvieux,Humide,Williams FC,Ligue
419,419,Automne,Nuageux,Boueux,Ross FC,Ligue
420,420,Automne,Nuageux,Humide,Coleman FC,Ligue
421,421,Automne,Pluvieux,Boueux,Maddox FC,Ligue
422,422,Automne,Venteux,Humide,Miller FC,Ligue
423,423,Automne,Pluvieux,Humide,Estes FC,Ligue
424,424,Automne,Nuageux,Sec,Pugh FC,Ligue
425,425,Automne,Pluvieux,Sec,Pugh FC,Ligue
426,426,Automne,Pluvieux,Sec,Cline FC,Ligue
427,427,Hiver,Nuageux,Humide,Horne FC,Ligue
428,428,Hiver,Pluvieux,Humide,Estes FC,Ligue
429,429,Hiver,Ensoleillé,Humide,Estes FC,Ligue
430,430,Hiver,Pluvieux,Humide,Estes FC,Ligue
431,431,Hiver,Pluvieux,Humide,Taylor FC,Ligue
432,432,Hiver,Pluvieux,Humide,Peterson FC,Ligue
433,433,Hiver,Pluvieux,Humide,Maddox FC,Ligue
434,434,Hiver,Pluvieux,Humide,Peterson FC,Ligue
435,435,Printemps,Ensoleillé,Sec,Sherman FC,Ligue
436,436,Printemps,Ensoleillé,Humide,Peterson FC,Ligue
437,437,Printemps,Ensoleillé,Sec,Estes FC,Ligue
438,438,Printemps,Nuageux,Sec,Williams FC,Ligue
439,439,Printemps,Pluvieux,Sec,Maddox FC,Ligue
440,440,Printemps,Nuageux,Sec,Sherman FC,Ligue
441,441,Printemps,Ensoleillé,Sec,Taylor FC,Ligue
442,442,Été,Venteux,Sec,Miller FC,Ligue
443,443,Été,Nuageux,Sec,Taylor FC,Ligue
444,444,Été,Nuageux,Sec,Williamson FC,Ligue
445,445,Automne,Pluvieux,Boueux,White FC,Coupe
446,446,Hiver,Venteux,Boueux,Johnson FC,Coupe
447,447,Hiver,Ensoleillé,Humide,Lawrence FC,Coupe
448,448,Hiver,Nuageux,Boueux,Hines FC,Coupe
449,449,Printemps,Nuageux,Sec,Castro FC,Coupe
450,450,Automne,Ensoleillé,Humide,Jones FC,Amical
